"","公司全名","更新日期","計算終止日","專利號","申請日","獲證日","PR","標題","專利摘要","主分支","公開發行","技術分類","股票代碼","產業別","收盤時間","氣動值","月營收成長率","熱度值","營收成長率","毛利成長率","營益成長率","外資成本","投信成本","自營商成本","收盤價","加權後成本","市值權重%","趨勢機率%","NA"
"11","三竹資訊","2025-03-03","2025-02-15","TWI830437B","2022-10-14","2024-01-21",21,"圖像式標註股票交易資訊筆記本之裝置與方法、電腦程式產品及電腦可讀取記錄媒體","一種圖像式標註股票交易資訊筆記本之裝置與方法，電腦程式產品及電腦可讀取記錄媒體。該方法包含：產生筆記本視圖用以記錄金融商品之交易筆記；顯示對應金融商品之交易明細輸入視窗；與報價伺服器建立連線以接收金融商品之報價電文；交易明細輸入視窗讀取報價電文之成交價；接收買賣別、成交價及股票數量之輸入並記錄為交易明細資訊；依據報價電文產生技術線圖；產生代表交易筆記之筆記圖示並標註於技術線圖之時間軸之相對應時間位置；及，產生代表交易明細資訊之交易圖示並標註於技術線圖之相對應價位位置。","main","Yes","交易資料篩選技術","8284","資訊服務業","2025-02-27",0.46,-7.58,3,0.24,10.76,27.38,61.6,NA,66,67,63.8,0.00386,70.7,"TW"
"12","上暘光學","2025-03-03","2025-02-15","TWI820836B","2022-07-29","2023-11-01",93,"微影成像投影鏡頭","一種微影成像投影鏡頭，係適用於光阻特徵成像的單位放大透鏡系統，        具有多個透鏡元件及置於其中之一光欄，其係沿著一光軸排列，且包含分置於該多個透鏡元件前、後兩端之一像側與一物側；其特徵在於：個別靠近該物側與該像側之二個透鏡，其屈光度皆須為正；各該透鏡元件皆屬無膠合之單一透鏡；不同像高位置的主光線與該光軸之夾角＜1度，且不同物高位置的主光線與該光軸之夾角＜1度；以及在350〜450nm波長光線的投射下，據以提供精確放大倍率的成像效果。","decline","No","其他",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"13","上海商業儲蓄銀行","2025-03-03","2025-02-15","TWI846467B","2023-05-15","2024-06-21",73,"自動化股權蒐集及實質受益人分析系統的操作方法","本發明係一種自動化股權蒐集及實質受益人分析系統的操作方法，包含：透過一介接裝置與一CTP平臺通訊以取得一最新CTP資料；將一客戶ID鍵入一分析模組以執行一第一偵測程序以及一第二偵測程序，其中該第一偵測程序係用以偵測所鍵入之該客戶ID於一實質受益人資料庫內是否有前次鍵入之股權資料可用，而該第二偵測程序係用以偵測對應該客戶ID之客戶及上層股東是否有/最新的CTP資料；若未有/非最新的CTP資料，則可透過一介接裝置與一CTP平臺通訊取得一最新CTP資料；彙整一前次自建資料及該最新CTP資料後，可再新增自建資料，以利後續執行一計算步驟；以及根據彙整後之該自建資料以及該最新CTP資料關聯的股權資料，繪製一股權樹狀圖進而執行該計算步驟以產生一計算結果，並設有股權是否足夠、應優先再徵提何者股權資料等提醒機制。","main","Yes","其他","5876","金融業","2025-02-27",0.96,20.01,8,5.89,NA,NA,38.1,42.1,42.2,44,40.5,0.26559,70.7,"TW"
"14","上銀科技","2025-03-03","2025-02-15","TWI831162B","2022-03-24","2024-02-01",46,"裝載埠及其映射裝置","一種裝載埠及其映射裝置，該裝載埠的映射裝置適用於對放置在一容器內的數個待測物進行檢測且包含一第一感測組及一第二感測組。該第一感測組能沿一檢測方向相對於該容器移動，該第一感測組用來檢測該等待測物且具有一第一光軸。該第二感測組能沿該檢測方向相對於該容器移動並用來檢測該等待測物且具有一相對於該第一光軸傾斜的第二光軸，該第二光軸較該第一光軸更遠離該容器且在該檢測方向上位於該第一光軸的前側。","main","Yes","光學檢測系統","2049","電機機械","2025-02-27",0.35,5.52,8,-3.53,-10.89,-27.49,303.9,305.4,333.4,313,310.4,0.13749,68.4,"TW"
"15","世界先進積體電路","2025-03-03","2025-02-15","TWI813420B","2022-08-19","2023-08-21",49,"半導體結構","一種半導體結構，包括一基底、一第一井區、一第二井區、一間隔區、一屏蔽結構、一摻雜區、一第一金屬結構以及一第二金屬結構。基底具有一第一導電型。第一井區形成於基底之中，並具有第一導電型。第二井區形成於基底之中，並具有一第二導電型。間隔區位於第一及第二井區之間，用以分隔第一及第二井區。屏蔽結構位於間隔區之上，並重疊間隔區。摻雜區形成於第二井區之中，並具有第二導電型。第一金屬結構電性連接摻雜區。第二金屬結構電性連接第一金屬結構。","main","Yes","半導體製程技術","5347","半導體","2025-02-27",0.39,15.73,8,11.81,22.39,33.9,97.4,98.2,94.7,100,97.2,0.23177,70.7,"TW"
"16","世界先進積體電路","2025-03-03","2025-02-15","TWI857467B","2023-01-19","2024-10-01",73,"記憶體裝置以及記憶體裝置的控制方法","本案提供一種記憶體裝置以及控制記憶體裝置的方法。當在一第一讀出週期期間判斷出自一記憶單元陣列中一記憶單元讀出的位元發生錯誤時，記憶體裝置觸發一第二讀出週期。在第二讀出週期期間，若判斷自同一記憶單元讀出的位元還是發生錯誤，此記憶單元則被判斷為一確定的錯誤記憶單元。此時，自修復記憶單元陣列中選擇一修復記憶單元來取代確定的錯誤記憶單元。被選擇的修復記憶單與確定的錯誤記憶單元耦接相同的字元線。","main","Yes","記憶體解碼架構","5347","半導體","2025-02-27",0.39,15.73,8,11.81,22.39,33.9,97.4,98.2,94.7,100,97.2,0.23177,70.7,"TW"
"17","世界先進積體電路","2025-03-03","2025-02-15","TWI813345B","2022-06-20","2023-08-21",4,"非揮發性記憶體裝置及其控制方法","一種非揮發性記憶體裝置的控制方法，非揮發性記憶體裝置包含一組記憶體單元、周期電晶體、參考電晶體及控制電路，控制電路耦接於該組記憶體單元、周期電晶體及參考電晶體。控制方法包含於該組記憶體單元的編程操作或抹除操作時，控制電路讀取周期電晶體，及於讀取到該周期電晶體在抹除狀態(或編程狀態)後，控制電路依序將該參考電晶體從參考狀態設置至抹除狀態(或編程狀態)，及將參考電晶體從抹除狀態(或編程狀態)回復至參考狀態，參考狀態係介於抹除狀態及編程狀態之間。","main","Yes","記憶體解碼架構","5347","半導體","2025-02-27",0.39,15.73,8,11.81,22.39,33.9,97.4,98.2,94.7,100,97.2,0.23177,70.7,"TW"
"18","世界先進積體電路","2025-03-03","2025-02-15","TWI813500B","2022-11-09","2023-08-21",3,"高電子遷移率電晶體結構及其製造方法","一種高電子遷移率電晶體結構，包含化合物半導體通道層設置於基底上，化合物半導體阻障層設置於化合物半導體通道層上，化合物半導體蓋層設置於化合物半導體阻障層上，化合物半導體蓋層包含第一區塊和第二區塊沿著第一方向排列，且第一區塊和第二區塊之間具有間隙，閘極電極設置於化合物半導體蓋層上，源極電極和汲極電極設置於化合物半導體阻障層上，沿著第二方向排列，且分別位於化合物半導體蓋層的兩側。","main","Yes","半導體製程技術","5347","半導體","2025-02-27",0.39,15.73,8,11.81,22.39,33.9,97.4,98.2,94.7,100,97.2,0.23177,70.7,"TW"
"19","世界先進積體電路","2025-03-03","2025-02-15","TWI844342B","2023-04-25","2024-06-01",15,"光學結構及其形成方法","本揭露提供一種光學結構的形成方法，包括：提供一基板，其中該基板包括一下包覆層以及設置於該下包覆層上的一光通道材料層；對該光通道材料層進行至少一局部氧化製程以形成嵌入該光通道材料層的多個氧化部件；以及進行一圖案化製程以將該光通道材料層圖案化為一光通道層，且在該光通道層的頂部具有一弧面，其中該下包覆層的一介電常數小於該光通道層的一介電常數。","decline","Yes","顯示技術","5347","半導體","2025-02-27",0.39,15.73,8,11.81,22.39,33.9,97.4,98.2,94.7,100,97.2,0.23177,70.7,"TW"
"20","世界先進積體電路","2025-03-03","2025-02-15","TWI862199B","2023-10-03","2024-11-11",57,"半導體裝置及其製造方法","一種半導體裝置的製造方法，包含提供由下到上依序堆疊的支撐基板、底部包覆層和半導體層所組成的基底，且包含電子積體電路區和光子積體電路區；對光子積體電路區的半導體層進行熱氧化製程，以形成氧化物層，使得電子積體電路區的半導體層的第一厚度大於氧化物層下方的半導體層的第二厚度，移除氧化物層，在光子積體電路區的底部包覆層上形成光子積體電路結構，在電子積體電路區的底部包覆層上形成電子積體電路結構，以及在底部包覆層上形成互連結構，以電連接至光子積體電路結構和電子積體電路結構。","decline","Yes","其他","5347","半導體","2025-02-27",0.39,15.73,8,11.81,22.39,33.9,97.4,98.2,94.7,100,97.2,0.23177,70.7,"TW"
"21","中勤實業","2025-03-03","2025-02-15","TWI845213B","2023-03-20","2024-06-11",70,"基板的框架模組","本發明係關於一種基板的框架模組，此框架模組包括集收框架及複數掛架，集收框架包含框架本體及一對頂部定位條，框架本體具有間隔相對設置的二側支架；上述對頂部定位條固定於二側支架的頂部，上述對頂部定位條在遠離頂部的一側延伸有二波浪狀凸塊，二波浪狀凸塊設有相對設置的複數U形凹口；複數掛架插設於框架本體，每一掛架包含架體及複數夾持件，架體兩端具有嵌設於相對設置的二U形凹口的二卡塊；各夾持件樞接於架體且夾持基板。藉此，以達到框架模組具有穩固定位及集收基板之優點。","main","No","其他",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"22","中國信託商業銀行","2025-03-03","2025-02-15","TWI860923B","2023-12-27","2024-11-01",70,"模型重建方法及系統","一種模型重建系統包含一處理單元，其執行以下操作：根據多個訓練資料集、多個測試資料集及多個訓練組合獲得一目標需求預測模型及所對應的多個待更新需求預測結果；根據一第一級距排列方式及該等待更新需求預測結果獲得一第一級距排列結果；根據該等測試資料集及一第二級距排列方式，利用一待比對需求預測模型獲得一第二級距排列結果；根據該第一級距排列結果及該第二級距排列結果分別獲得一第一指標值及一第二指標值；及根據該第一指標值及該第二指標值判定是否以該目標需求預測模型取代該待比對需求預測模型。","main","No","資料管理與優化",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"23","中國信託證券投資信託","2025-03-03","2025-02-15","TWI851034B","2023-02-18","2024-08-01",24,"基於ESG的資料整合系統","鑒於國內ESG資料難以整合，故提供一種基於ESG的資料整合系統，經由一通訊網路連接多個資料庫，包含一通訊模組、一儲存模組、一資料彙整模組，及一缺失值處理模組。一資料彙整模組根據一儲存模組儲存的一相關於多個指定投資標的之投資組合資料，經由一通訊模組從該等資料庫進行資料蒐集，獲得多筆分別對應該等指定投資標的之標的ESG資訊。對於每一具有至少一缺失值的標的ESG資訊，該缺失值處理模組利用該儲存模組儲存的一估計模型，估計出至少一分別對應該至少一缺失值之估計值。本發明能達到整合遍及該等資料庫的ESG資料之技術功效。","main","No","其他",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"24","中國商上海曦智科技","2025-03-03","2025-02-15","TWI860553B","2022-09-30","2024-11-01",10,"積體光子設備、積體光子設備的製造方法、光學裝置、電子系統、以及光學處理器","一種裝置，包括雙波導光學相位調變器，此雙波導光學相位調變器包括第一波導和第二波導，其中第一波導和第二波導中的每一個包括第一波導芯結構和第二波導芯結構。第一波導芯結構或第二波導芯結構中的至少一個包括脊。","main","No","光學檢測系統",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"25","中國大陸商長鑫存儲技術","2025-03-03","2025-02-15","TWI857606B","2023-05-12","2024-10-01",72,"半導體結構及其製造方法","本發明提供一種半導體結構及其製造方法，該半導體結構包括基板和多條字元線；多條字元線均沿第一方向延伸，且沿第二方向間隔設置於基板上，每相鄰兩條字元線之間均設置有字元線隔離結構；字元線隔離結構至少包括沿第二方向層疊設置的第一隔離層和第二隔離層，第一隔離層和第二隔離層的材料不同，第一方向和第二方向相互交叉。本發明能夠有效提高字元線隔離結構的隔離效果，提升半導體結構的性能。","branch","No","半導體結構與製造方法",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"26","中國大陸商長鑫存儲技術","2025-03-03","2025-02-15","TWI793028B","2022-05-31","2023-02-11",67,"一種錘擊刷新方法、錘擊刷新電路及半導體記憶體","本案實施例提供了一種錘擊刷新方法、錘擊刷新電路及半導體記憶體，該方法包括：確定針對目標字線的錘擊刷新指令；根據錘擊刷新指令，將預設錘擊刷新信號置為有效狀態；其中，預設錘擊刷新信號的有效狀態指示在第一刷新週期中執行錘擊刷新指令；若檢測到在第一刷新週期內未完成錘擊刷新指令，則將預設錘擊刷新信號的有效狀態延續至第一刷新週期的下一刷新週期。這樣，通過靈活調整預設錘擊刷新信號的有效狀態，不僅能夠節省頻寬資源，而且能夠提高錘擊刷新的正確性。","main","No","記憶體解碼架構",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"27","中國大陸商長鑫存儲技術","2025-03-03","2025-02-15","TWI835353B","2022-10-17","2024-03-11",64,"位址更新電路、方法、記憶體和電子設備","本發明實施例公開了一種位址更新電路、方法、記憶體和電子設備，位址更新電路包括：選擇電路和解碼電路；其中，選擇電路用於獲取選通信號、冗餘位址信號和常規位址信號，且用於在第一脈衝期間和第二脈衝期間，基於選通信號，分別選擇冗餘位址信號和常規位址信號中的一個作為目標位址信號；第一脈衝期間和第二脈衝期間屬於同一個更新週期，第二脈衝期間晚於第一脈衝期間；解碼電路，用於對目標位址信號進行解碼，得到並輸出解碼信號。","main","No","記憶體解碼架構",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"28","中國大陸商長鑫存儲技術","2025-03-03","2025-02-15","TWI828279B","2022-08-19","2024-01-01",88,"一種信號取樣電路以及半導體記憶體","本發明實施例提供了一種信號取樣電路以及半導體記憶體，該信號取樣電路包括：信號輸入電路，用於根據第一時脈信號、第一晶片選擇信號和第一命令位址信號，確定待處理指示信號和待處理晶片選擇信號；時脈處理電路，用於根據第一時脈信號對待處理晶片選擇信號進行兩階取樣處理和邏輯運算處理，得到晶片選擇時脈信號；晶片選擇控制電路，用於根據第一時脈信號對待處理晶片選擇信號進行取樣處理，得到中間晶片選擇信號，以及對中間晶片選擇信號、待處理晶片選擇信號和待處理指示信號進行邏輯運算，得到指令解碼信號；輸出取樣電路，用於根據晶片選擇時脈信號對指令解碼信號進行取樣處理，得到目標指令信號。這樣，該信號取樣電路可以提升指令解碼的準確度。","main","No","記憶體解碼架構",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"29","中國大陸商長鑫存儲技術","2025-03-03","2025-02-15","TWI843422B","2023-01-19","2024-05-21",88,"一種控制方法、半導體記憶體和電子設備","本發明實施例提供了一種控制方法、半導體記憶體和電子設備，針對於預設測試模式提供了資料遮罩引腳的阻抗控制策略，不僅能夠定義資料遮罩引腳在預設測試模式中的阻抗，而且明確了DDR5中用於控制資料遮罩引腳致能與否的控制信號和PODTM中用於控制資料遮罩引腳是否為測試物件的控制信號的關係，在預設測試模式下能夠測試資料遮罩引腳的阻抗，避免出現電路處理錯誤。","main","No","記憶體解碼架構",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"30","中國大陸商長鑫存儲技術","2025-03-03","2025-02-15","TWI863332B","2023-06-05","2024-11-21",33,"一種反熔絲陣列結構及其操作方法以及記憶體","本發明實施例公開了一種反熔絲陣列結構及其操作方法以及記憶體，其中，所述反熔絲陣列結構，包括：反熔絲陣列區和選擇電路區；所述反熔絲陣列區包括多個反熔絲單元，所述選擇電路區包括多個選擇電晶體；其中，所述選擇電路區位於所述反熔絲陣列區的至少一側。","main","No","記憶體解碼架構",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"31","中國大陸商長鑫存儲技術","2025-03-03","2025-02-15","TWI861579B","2022-10-19","2024-11-11",65,"比較方法和裝置","本發明實施例涉及半導體技術領域，提供一種佈局及佈線方法、比較方法、製造方法、裝置和存儲媒體，佈局佈線方法包括：獲取佈局中所有埠(100)的命名，且埠(100)具有第一節點(110)和第二節點(120)；檢測埠(100)的第一節點(110)和第二節點(120)是否均通過實際連接層(101)與其他埠(100)連接，若否，將第一節點(110)和/或第二節點(120)未與實際連接層(101)連接的埠(100)作為待連接埠(130)；採用虛擬連接層(102)連接命名相同的至少兩個待連接埠(130)。本發明實施例至少有利於降低佈局佈線的修改次數，以及有利於提高佈局佈線的準確性和佈局佈線效率。","main","No","半導體製程技術",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"32","中國大陸商長鑫存儲技術","2025-03-03","2025-02-15","TWI855650B","2023-04-25","2024-09-11",5,"半導體結構的形成方法","本案實施例提供一種半導體結構的形成方法，所述方法包括：提供基底，所述基底包括第一區域和位於所述第一區域之外的第二區域，所述第一區域包括沿第一方向交替排列的疊層結構和隔離溝槽；所述第一方向為所述基底所在平面內任意的一個方向；對所述疊層結構沿所述第一方向的側壁進行離子注入，形成沿所述第一方向延伸、且部分位於所述隔離溝槽中的主動虛擬連接層；在所述主動虛擬連接層的表面形成閘極結構。","branch","No","半導體結構與製造方法",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"33","中國砂輪企業","2025-03-03","2025-02-15","TWI813332B","2022-06-10","2023-08-21",87,"化學機械研磨墊修整器及其製法","本發明提供一種化學機械研磨墊修整器，其用以對一研磨墊進行修整程序且包含一基板、一結合層及複數研磨顆粒；該基板包含相對的第一、第二表面，而該結合層設置於該第一表面上；於該修整程序中，該結合層之外表面係朝向該研磨墊，使該等研磨顆粒與該研磨墊的一預定區域接觸且形成複數修整軌跡；該等修整軌跡之平均覆蓋率係大於或等於85%。本發明之化學機械研磨墊修整器具有良好的修整效率，且能夠以簡易、低成本的方式製作而得。","decline","Yes","其他","1560","電機機械","2025-02-27",0.2,3.81,9,12.75,5.81,9.12,301.7,328.6,279.4,274.5,308,0.04977,0,"TW"
"34","中國砂輪企業","2025-03-03","2025-02-15","TWI832451B","2022-09-28","2024-02-11",25,"晶圓定位機構以及包含其的晶圓定位治具","本發明揭示一種晶圓定位機構，包括本體部、結合於該本體部的底側的裝置定位部、以及一晶圓對齊槽。該裝置定位部用以組合於平台的一側。該晶圓對齊槽係為由該本體部沿水平方向上延伸形成的開口槽。該晶圓對齊槽的形狀與晶圓的其中一側壁外緣的形狀相符合以供該晶圓的該其中一側壁外緣憑靠對齊藉以精準定位該晶圓。","decline","Yes","其他","1560","電機機械","2025-02-27",0.2,3.81,9,12.75,5.81,9.12,301.7,328.6,279.4,274.5,308,0.04977,0,"TW"
"35","中國砂輪企業","2025-03-03","2025-02-15","TWI831397B","2022-09-29","2024-02-01",57,"拋光墊","一種拋光墊，包括一拋光層以及一基底，該拋光層具有一工作面以及一相對該工作面的底面，該基底連接至該拋光層的該底面，該基底包括一黏著層，該黏著層具有一相對該拋光層的黏著面以及複數個形成於該黏著面上的第一凹陷部，該第一凹陷部係從該黏著面的一中央部分朝外地延伸至該黏著面的一週邊區域。","decline","Yes","其他","1560","電機機械","2025-02-27",0.2,3.81,9,12.75,5.81,9.12,301.7,328.6,279.4,274.5,308,0.04977,0,"TW"
