"","公司全名","專利號","申請日","獲證日","PR","標題","專利摘要","預測年份","主分支","台灣上市櫃","技術分類","股票代碼","產業別","資料時間","氣動值","月營收成長率","熱度值","營收成長率","毛利成長率","營益成長率","外資成本","投信成本","自營商成本","收盤價","加權後成本"
"11","日商SUMCO","TWI784671B","2021-08-18","2022-11-21",99,"磊晶矽晶圓及其製造方法、以及半導體元件的製造方法","本發明的磊晶矽晶圓100的製造方法的特徵在於包括：對矽晶圓10的表面10A照射包含SiHx（x為選自1～3的整數中的一個以上）的離子與C2Hy（y為選自2～5的整數中的一個以上）的離子的簇離子12的束，而於所述矽晶圓的表層部形成固溶有所述簇離子束的構成元素的改質層14的步驟；以及於所述矽晶圓的改質層14上形成矽磊晶層16的步驟；將所述SiHx離子的劑量設為1.5×1014ions/cm2以上。","Y2024","main","No","半導體結構",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","日商力森諾科","TWI819706B","2022-07-15","2023-10-21",99,"蝕刻方法及半導體元件之製造方法","本發明提供一種相較於非蝕刻對象物，能將蝕刻對象物選擇性蝕刻之蝕刻方法。蝕刻方法具備使含有亞硝醯氟之蝕刻氣體接觸具有蝕刻氣體之蝕刻對象的蝕刻對象物與不是蝕刻氣體之蝕刻對象的非蝕刻對象物之被蝕刻構件(12)，不使用電漿，相較於非蝕刻對象物，將蝕刻對象物選擇性蝕刻之蝕刻步驟。而且，蝕刻對象物含有以化學式Si        1-xGe        x表示的矽及矽鍺之至少一者，非蝕刻對象物含有以化學式Si        1-yGe        y表示的鍺及矽鍺之至少一者。兩化學式中的x為0以上且未達1，y為超過0且1以下，x小於y。","Y2024","main","No","半導體結構",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","日商芝浦機械電子裝置","TWI805288B","2022-03-25","2023-06-11",99,"拾取筒夾、拾取裝置及安裝裝置","本發明提供一種能夠以不接觸的方式拾取電子零件的拾取筒夾、拾取裝置及安裝裝置。實施形態的拾取筒夾(200)是抽吸保持電子零件(2)並進行拾取的拾取筒夾(200)，具有多孔質構件(201)，所述多孔質構件(201)具有通氣性且將被供給至內部的氣體經由與電子零件(2)相向的相向面(201a)的細孔供給至外部，在多孔質構件(201)中設置有抽吸孔(201c)，所述抽吸孔(201c)在相向面(201a)具有藉由負壓將電子零件(2)抽吸至相向面(201a)的開口(201d)的抽吸孔(201c)。","Y2024","main","No","其他",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","日商鎧俠","TWI800896B","2021-08-17","2023-05-01",99,"半導體裝置、其製造方法及半導體記憶裝置","本發明之實施形態提供一種具有高信賴性之半導體裝置、其製造方法及半導體記憶裝置。        實施形態之半導體裝置具備：半導體基板，其包含第1區域及第2區域；第1絕緣體層；第1閘極電極，其具有含有雜質之第1半導體層、含有鈦之第1導電體層、含有氮與鈦或鎢之第2導電體層、及含有鎢之第3導電體層；第2絕緣體層，其設置於第3導電體層之上，含有氧與矽；第3絕緣體層，其設置於第2絕緣體層之上，含有氮與矽；第1接觸部，其設置於第1區域之上；第2接觸部，其設置於第2區域之上；及第3接觸部，其設置於第1閘極電極之第3導電體層之上，貫通第2絕緣體層與第3絕緣體層。","Y2024","main","No","半導體結構",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","日商鎧俠","TWI801969B","2021-08-17","2023-05-11",99,"半導體記憶裝置","實施方式之半導體記憶裝置包含：第1積層體、複數個板狀部、及壁部。第1積層體交替地一層一層地積層有複數個導電層與複數個第1絕緣層，且包含複數個柱狀體，上述複數個柱狀體沿複數個導電層之積層方向貫通複數個導電層與複數個第1絕緣層，且於與導電層對向之部分形成記憶胞。包含第1絕緣材之複數個板狀部沿與積層方向交叉之第1方向延伸，將第1積層體分割成複數個區塊。包含第2絕緣材之壁部包含第1部分與第2部分。第1部分於與第1方向交叉之第2方向及積層方向上延伸，第2部分於第2方向及積層方向上延伸，第1部分與第2部分設置於積層方向上。第2部分係與第1部分中之於第2方向及積層方向上擴展之側面連接，且具有以較側面與積層方向所規定之角度大之角度相對於積層方向傾斜之外緣。","Y2024","main","No","記憶體架構",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","日商鎧俠","TWI811845B","2021-11-15","2023-08-11",99,"半導體裝置及半導體裝置之製造方法","本發明之半導體裝置具備積層體、及形成於積層體之記憶體孔內之記憶體柱。記憶體柱具有依次積層有半導體部61b、隧道絕緣膜62a、及電荷儲存層62b之構造。於電荷儲存層62b與導電體層52之間，設置阻擋絕緣膜53。導電體層52包含鉬。阻擋絕緣膜53具有氧化矽膜53a及氧化鋁膜53b。自導電體層52至氧化鋁膜53b之區域中，包含抑制OH擴散之氯。與導電體層52之第1部分之雜質之濃度相比，於導電體層中較第1部分更接近氧化鋁膜53b之第2部分之氯之濃度較高。","Y2024","main","No","記憶體架構",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","美商應用材料","TWI801079B","2022-01-05","2023-05-01",99,"用於3D NAND的摻雜氮化矽","形成半導體結構的示例性方法可包括由含矽前驅物及含氧前驅物形成氧化矽層。方法可包括由含矽前驅物、含氮前驅物、及含氧前驅物形成氮化矽層。氮化矽層可藉由大於或約5原子%的氧濃度表徵。方法亦可包括重複形成氧化矽層及形成氮化矽層以產生氧化矽及氮化矽的交替層的堆疊。","Y2024","main","No","半導體結構",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","美商萬國商業機器公司","TWI818638B","2022-07-25","2023-10-11",99,"替代埋入式電源軌","本文中所揭示之實施例描述一種半導體結構。該半導體結構可包括具有一第一源極/汲極(S/D)及一第二S/D之一裝置區。該半導體結構亦可包括在該裝置區下方之一埋入式電源軌(BPR)。該BPR之一臨界尺寸可大於該第一S/D與該第二S/D之間的一距離。該半導體結構亦可包括在該BPR與該S/D之間的一通路接觸件至埋入式電源軌(VBPR)。","Y2024","main","No","半導體結構",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","美商豪威科技","TWI809819B","2022-04-15","2023-07-21",99,"溝槽形成方法","提供在一半導體基板中形成不同深度之溝槽結構之方法。在該半導體基板上提供形成一第一開口及一第二開口之一第一遮罩。透過該第一開口及該第二開口來蝕刻該半導體基板，藉此形成一第一溝槽及一第二溝槽。將溝槽結構材料沈積在該第一溝槽及該第二溝槽中，藉此形成第一溝槽結構及第二溝槽結構。在該第一遮罩上提供一第二遮罩，其中該第二遮罩覆蓋該第一開口且具有經疊加在該第一遮罩之該第二開口上方之一第三開口。透過該第一遮罩之該第二開口及透過該第二遮罩之該第三開口來蝕刻該第二溝槽結構。","Y2024","main","No","半導體結構",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","美商雷森公司","TWI821872B","2022-01-20","2023-11-11",99,"非對稱角度閘極結構以及其製作方法","本發明揭示一種高電子遷移率電晶體(HEMT)，其包含：一基板；一源極，其位於該基板上；一汲極，其位於該基板上且與該源極間隔開；及一閘極，其位於該源極與該汲極之間，其中該閘極具有接觸該基板之一桿，該桿具有一源極側表面及一汲極側表面，其中一源極側角度界定於該源極側表面與該基板之一上平坦表面之間且一汲極側角度界定於該汲極側表面與該基板之該上平坦表面之間，且其中該源極側角度及該汲極側角度係非對稱的。亦揭示用於製作該HEMT之方法。","Y2024","main","No","功率元件",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","群創光電","TWI831164B","2022-03-28","2024-02-01",99,"X光偵測裝置","本揭露提供一X光偵測裝置，其包括一基板、一第一電晶體設置在該基板上且包括一矽半導體層、一第二電晶體設置在該基板上且包括一金屬氧化物半導體層、一感測元件設置在該第一電晶體與該第二電晶體上且電連接到該第一電晶體與該第二電晶體、一第一阻擋層設置在該第一電晶體與該第二電晶體之間、以及一第二阻擋層設置在該第二電晶體與該感測元件之間。本揭露的X光偵測裝置還可包括一閃爍器，設置在該感測元件上。","Y2024","main","Yes","半導體結構","3481","光電業","2024-07-26",1.17,-3.14,1,10.74,166.76,63.17,15,16,15.4,15.55,15.5
"22","群創光電","TWI840996B","2022-10-13","2024-05-01",99,"電子裝置及其製造方法","一種電子裝置，包括重佈線層、電子單元以及導電凸塊。重佈線層包括第一晶種層、第一導電層以及第一絕緣層。第一導電層設置於第一晶種層上，第一絕緣層設置於第一導電層上，且第一絕緣層的開口暴露至少部分第一導電層。電子單元電性連接至重佈線層。導電凸塊設置於第一導電層與電子單元之間且對應設置於開口中。電子單元透過導電凸塊電性連接至重佈線層。導電凸塊直接接觸第一導電層。","Y2024","main","Yes","半導體結構","3481","光電業","2024-07-26",1.17,-3.14,1,10.74,166.76,63.17,15,16,15.4,15.55,15.5
"23","聯發科技","TWI833386B","2022-10-13","2024-02-21",99,"半導體封裝","本發明公開一種半導體封裝，包括：第一焊盤，用於接收來自封裝外部的裝置的訊號或將來自內部電路的訊號傳輸到封裝外部的裝置；晶粒，包括第二焊盤和內部電路，其中該內部電路配置為透過該第二焊盤從該第一焊盤接收該訊號或透過該第二焊盤將該訊號傳輸到該第一焊盤；以及至少一個封裝靜電放電部件，其中該至少一個封裝靜電放電部件位於該晶粒外部。","Y2024","main","Yes","半導體結構","2454","半導體","2024-07-26",0.68,12.75,7,39.53,52.25,123.96,857.2,927.4,1294.5,1245,972.7
"24","華碩電腦","TWI777785B","2021-09-24","2022-09-11",99,"電子裝置","本案提供一種電子裝置，包含至少一連接介面用來接收一外部訊號。一第一訊號切換多工器電性連接至連接介面，以接收外部訊號。一筆電系統電性連接第一訊號切換多工器，用以於一筆電模式下運作。一繪圖板系統電性連接第一訊號切換多工器，用以於一繪圖板模式及一獨立螢幕模式下運作。一切換開關產生一切換訊號並將其傳輸至第一訊號切換多工器、筆電系統及繪圖板系統，以根據切換訊號選擇筆電模式、繪圖板模式或獨立螢幕模式，使第一訊號切換多工器根據切換訊號將外部訊號傳輸至筆電系統或繪圖板系統，令筆電系統或繪圖板系統根據外部訊號之類型進行對應處理，輸出一電子訊號，使第二訊號切換多工器根據切換訊號，將電子訊號傳輸至對應之觸控螢幕或觸控控制器。","Y2024","main","Yes","其他","2357","電腦及週邊","2024-07-26",1.13,21.48,1,9.25,82.27,255.33,401.4,389.6,476.8,458,411.8
"25","錼創顯示科技","TWI833265B","2022-06-30","2024-02-21",99,"微型發光二極體顯示裝置","一種微型發光二極體顯示裝置，包括電路基板、磊晶結構以及導電層。磊晶結構電性連接電路基板，且包括共用層以及多個發光平台。這些發光平台配置於共用層上，其中共用層的厚度小於這些發光平台的厚度，且共用層具有被這些發光平台暴露出的第一表面，以及與第一表面相對的第二表面。導電層配置於共用層的第二表面上，並暴露出第二表面的多個子區，其中導電層在共用層的垂直投影重疊第一表面在共用層的垂直投影。","Y2024","branch","No","其他",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","中國大陸商長鑫存儲技術","TWI827198B","2022-08-16","2023-12-21",98,"半導體結構及其製造方法","本申請實施例涉及半導體領域，提供一種半導體結構及其製造方法，半導體結構包括：基底；位於陣列區的存儲電容單元包括：N個在平行於基底表面的方向上分佈的絕緣柱；覆蓋絕緣柱的頂面和側面的下電極層；與下電極層正對的上電極層；位於上電極層與下電極層之間的電容介電層；其中，N個絕緣柱對應的下電極層或者N個絕緣柱對應的上電極層中的一者為連續膜層，另一者為分立膜層，N為大於等於2的自然數；位於電路區的電晶體，且電晶體包括位於電路區的基底內的電容控制端；電連接結構，與電容控制端電連接，且自電路區向陣列區延伸，以與相應的分立膜層相接觸。本申請實施例至少可以降低製備半導體結構的製程難度和提高半導體結構的電學性能。","Y2024","branch","No","其他",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","中國大陸商長鑫存儲技術","TWI827198B","2022-08-16","2023-12-21",98,"半導體結構及其製造方法","本申請實施例涉及半導體領域，提供一種半導體結構及其製造方法，半導體結構包括：基底；位於陣列區的存儲電容單元包括：N個在平行於基底表面的方向上分佈的絕緣柱；覆蓋絕緣柱的頂面和側面的下電極層；與下電極層正對的上電極層；位於上電極層與下電極層之間的電容介電層；其中，N個絕緣柱對應的下電極層或者N個絕緣柱對應的上電極層中的一者為連續膜層，另一者為分立膜層，N為大於等於2的自然數；位於電路區的電晶體，且電晶體包括位於電路區的基底內的電容控制端；電連接結構，與電容控制端電連接，且自電路區向陣列區延伸，以與相應的分立膜層相接觸。本申請實施例至少可以降低製備半導體結構的製程難度和提高半導體結構的電學性能。","Y2024","main","No","其他",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","中國大陸商長鑫存儲技術","TWI827198B","2022-08-16","2023-12-21",98,"半導體結構及其製造方法","本申請實施例涉及半導體領域，提供一種半導體結構及其製造方法，半導體結構包括：基底；位於陣列區的存儲電容單元包括：N個在平行於基底表面的方向上分佈的絕緣柱；覆蓋絕緣柱的頂面和側面的下電極層；與下電極層正對的上電極層；位於上電極層與下電極層之間的電容介電層；其中，N個絕緣柱對應的下電極層或者N個絕緣柱對應的上電極層中的一者為連續膜層，另一者為分立膜層，N為大於等於2的自然數；位於電路區的電晶體，且電晶體包括位於電路區的基底內的電容控制端；電連接結構，與電容控制端電連接，且自電路區向陣列區延伸，以與相應的分立膜層相接觸。本申請實施例至少可以降低製備半導體結構的製程難度和提高半導體結構的電學性能。","Y2024","branch","No","半導體結構",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","中國大陸商長鑫存儲技術","TWI827198B","2022-08-16","2023-12-21",98,"半導體結構及其製造方法","本申請實施例涉及半導體領域，提供一種半導體結構及其製造方法，半導體結構包括：基底；位於陣列區的存儲電容單元包括：N個在平行於基底表面的方向上分佈的絕緣柱；覆蓋絕緣柱的頂面和側面的下電極層；與下電極層正對的上電極層；位於上電極層與下電極層之間的電容介電層；其中，N個絕緣柱對應的下電極層或者N個絕緣柱對應的上電極層中的一者為連續膜層，另一者為分立膜層，N為大於等於2的自然數；位於電路區的電晶體，且電晶體包括位於電路區的基底內的電容控制端；電連接結構，與電容控制端電連接，且自電路區向陣列區延伸，以與相應的分立膜層相接觸。本申請實施例至少可以降低製備半導體結構的製程難度和提高半導體結構的電學性能。","Y2024","main","No","半導體結構",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","中華電信","TWI819916B","2022-12-07","2023-10-21",98,"基於分散式儲存技術之雲服務虛擬機災難備援系統及其方法","一種基於分散式儲存技術之雲服務虛擬機災難備援系統及其方法，適用於本地雲服務、本地雲儲存服務、備援區雲服務及備援區雲儲存服務中，該方法包括：接收異地備份還原指令，將備援區雲儲存服務中的備援虛擬機與備援虛擬磁碟設定為可讀寫狀態；搜尋備份的中介資料以獲取並且傳送還原資料以及虛擬機規格資訊，以於備援區雲服務中建立待還原的備援虛擬機或備援虛擬磁碟；啟動備援區雲服務中的備援虛擬機或備援虛擬磁碟；檢查待還原的備援虛擬機或備援虛擬磁碟是否正常啟動；以及依據待還原的備援虛擬機或備援虛擬磁碟是否正常啟動來發送告警訊息。","Y2024","main","Yes","其他","2412","通信網路業","2024-07-26",0.62,-2.93,8,1.35,-0.45,-2.05,109.5,117.1,119.1,122.5,114.5
"31","力晶積成電子製造","TWI802305B","2022-03-03","2023-05-11",98,"半導體結構以及埋入式場板結構的製造方法","本揭露提供一種半導體結構以及埋入式場板結構的製造方法。半導體結構包括基底、多個埋入式場板結構以及閘極。基底包括第一表面以及與第一表面相對的第二表面。埋入式場板結構包括導電結構以及圍繞導電結構的絕緣結構。導電結構包括沿垂直於基底的第一表面的方向上安置的多個部分，且平行於基底的第一表面的方向上的多個部分具有不同的寬度。","Y2024","main","Yes","半導體結構","6770","半導體","2024-07-26",0.9,8.49,5,-5.5,-22.26,-420.62,25.8,30.5,26.1,23.15,27.7
"32","力晶積成電子製造","TWI835376B","2022-10-31","2024-03-11",98,"半導體裝置及形成屏蔽結構的方法","本揭露提供一種半導體裝置及一種形成屏蔽結構的方法。半導體裝置包括基底、多個屏蔽結構以及多個閘極結構。屏蔽結構設置在基底的胞元區中且自基底的第一表面延伸至基底中。相鄰的兩個屏蔽結構在胞元區中界定具有第一導電型的漂移區。漂移區在鄰近屏蔽結構的側壁形成有基體區。基體區在鄰近屏蔽結構的側壁形成有摻雜區。基體區具有不同於第一導電型的第二導電型。摻雜區具有第一導電型。閘極結構設置在所述漂移區上且各自包括與基體區重疊的部分。通道形成於基體區的與閘極結構重疊的部分中，且通道在平行於基底的第一表面的方向上延伸。屏蔽結構中的每一者包括第一導電圖案、第一介電襯裡以及介電圖案。第一介電襯裡環繞第一導電圖案，且介電圖案設置在第一導電圖案以及第一介電襯裡上。","Y2024","main","Yes","半導體結構","6770","半導體","2024-07-26",0.9,8.49,5,-5.5,-22.26,-420.62,25.8,30.5,26.1,23.15,27.7
"33","北京超弦存儲器研究院","TWI827198B","2022-08-16","2023-12-21",98,"半導體結構及其製造方法","本申請實施例涉及半導體領域，提供一種半導體結構及其製造方法，半導體結構包括：基底；位於陣列區的存儲電容單元包括：N個在平行於基底表面的方向上分佈的絕緣柱；覆蓋絕緣柱的頂面和側面的下電極層；與下電極層正對的上電極層；位於上電極層與下電極層之間的電容介電層；其中，N個絕緣柱對應的下電極層或者N個絕緣柱對應的上電極層中的一者為連續膜層，另一者為分立膜層，N為大於等於2的自然數；位於電路區的電晶體，且電晶體包括位於電路區的基底內的電容控制端；電連接結構，與電容控制端電連接，且自電路區向陣列區延伸，以與相應的分立膜層相接觸。本申請實施例至少可以降低製備半導體結構的製程難度和提高半導體結構的電學性能。","Y2024","branch","No","其他",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","北京超弦存儲器研究院","TWI827198B","2022-08-16","2023-12-21",98,"半導體結構及其製造方法","本申請實施例涉及半導體領域，提供一種半導體結構及其製造方法，半導體結構包括：基底；位於陣列區的存儲電容單元包括：N個在平行於基底表面的方向上分佈的絕緣柱；覆蓋絕緣柱的頂面和側面的下電極層；與下電極層正對的上電極層；位於上電極層與下電極層之間的電容介電層；其中，N個絕緣柱對應的下電極層或者N個絕緣柱對應的上電極層中的一者為連續膜層，另一者為分立膜層，N為大於等於2的自然數；位於電路區的電晶體，且電晶體包括位於電路區的基底內的電容控制端；電連接結構，與電容控制端電連接，且自電路區向陣列區延伸，以與相應的分立膜層相接觸。本申請實施例至少可以降低製備半導體結構的製程難度和提高半導體結構的電學性能。","Y2024","main","No","其他",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","北京超弦存儲器研究院","TWI827198B","2022-08-16","2023-12-21",98,"半導體結構及其製造方法","本申請實施例涉及半導體領域，提供一種半導體結構及其製造方法，半導體結構包括：基底；位於陣列區的存儲電容單元包括：N個在平行於基底表面的方向上分佈的絕緣柱；覆蓋絕緣柱的頂面和側面的下電極層；與下電極層正對的上電極層；位於上電極層與下電極層之間的電容介電層；其中，N個絕緣柱對應的下電極層或者N個絕緣柱對應的上電極層中的一者為連續膜層，另一者為分立膜層，N為大於等於2的自然數；位於電路區的電晶體，且電晶體包括位於電路區的基底內的電容控制端；電連接結構，與電容控制端電連接，且自電路區向陣列區延伸，以與相應的分立膜層相接觸。本申請實施例至少可以降低製備半導體結構的製程難度和提高半導體結構的電學性能。","Y2024","branch","No","半導體結構",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","北京超弦存儲器研究院","TWI827198B","2022-08-16","2023-12-21",98,"半導體結構及其製造方法","本申請實施例涉及半導體領域，提供一種半導體結構及其製造方法，半導體結構包括：基底；位於陣列區的存儲電容單元包括：N個在平行於基底表面的方向上分佈的絕緣柱；覆蓋絕緣柱的頂面和側面的下電極層；與下電極層正對的上電極層；位於上電極層與下電極層之間的電容介電層；其中，N個絕緣柱對應的下電極層或者N個絕緣柱對應的上電極層中的一者為連續膜層，另一者為分立膜層，N為大於等於2的自然數；位於電路區的電晶體，且電晶體包括位於電路區的基底內的電容控制端；電連接結構，與電容控制端電連接，且自電路區向陣列區延伸，以與相應的分立膜層相接觸。本申請實施例至少可以降低製備半導體結構的製程難度和提高半導體結構的電學性能。","Y2024","main","No","半導體結構",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
