資料截止日,演化階段,AI分類,申請人,公開公告號,申請日,標題,PR,股票代碼,收盤日,氣動值,單月營收成長,熱度值,季營收年增率%,季毛利年增率%,季營益年增率%,收盤價,法人平均成本,
2026-01-15,main,光學元件與光通訊,日商愛發科成膜,TW202544548A,2025-03-25,相位移光罩基底、相位移光罩基底之製造方法、相位移光罩、及相位移光罩之製造方法,,,,,,,,,,,,
2026-01-15,main,半導體設備,美商應用材料,TW202603497A,2025-03-25,EUV乾式顯影之方法,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,日商村田製作所,TW202604291A,2025-03-24,半導體裝置及半導體裝置之製造方法,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,日商村田製作所,TW202604292A,2025-03-24,半導體裝置及半導體裝置之製造方法,,,,,,,,,,,,
2026-01-15,main,半導體設備,大陸商摩爾綫程智能科技(北京),TW202540956A,2025-03-21,渲染方法、圖塊分配裝置、圖形處理設備及計算設備,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,美商應用材料,TW202538434A,2025-03-20,元件製造中的基板變形的多尺度控制,,,,,,,,,,,,
2026-01-15,decline,電機機械,聯發科技,TW202538710A,2025-03-20,一種電子裝置及同步方法,,2454,2026-02-04,0.3,22.99,8,7.8,2.74,-7.03,1800,1304.8,
2026-01-15,main,記憶體與儲存裝置,華邦電子,TW202541037A,2025-03-20,具有錯誤校正碼的記憶體裝置,,2344,2026-02-04,0.27,53.33,9,2.15,62.74,1259.78,108.5,86.2,
2026-01-15,main,半導體設備,日商東京威力科創,TW202603501A,2025-03-19,利用可交聯被覆膜的多重圖案化,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,日商東京威力科創,TW202604271A,2025-03-19,半導體處理方法,,,,,,,,,,,,
2026-01-15,main,半導體設備,美商布魯爾科技公司,TW202601276A,2025-03-18,溶解度轉換地形填充材料及方法,,,,,,,,,,,,
2026-01-15,main,發光半導體,南韓商三星顯示器,TW202604326A,2025-03-17,顯示裝置、發光元件及其製造方法,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,南韓商三星電子,TW202602274A,2025-03-14,積體電路裝置,,,,,,,,,,,,
2026-01-15,decline,光學元件與光通訊,南韓商LX半導體科技,TW202536848A,2025-03-13,能夠自適應處理具有各種頻率的傳輸訊號的接收器,,,,,,,,,,,,
2026-01-15,main,半導體設備,日商尼康,TW202542657A,2025-03-12,曝光方法、基板處理方法、及曝光裝置,,,,,,,,,,,,
2026-01-15,main,先進材料與奈米科技,荷蘭商ASM IP私人控股,TW202603500A,2025-03-11,包括光阻底層之結構及其形成方法,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,美商雷神公司,TW202543417A,2025-03-07,雙級肖特基障壁及方法,,,,,,,,,,,,
2026-01-15,decline,AI與自然語言處理,郭家倫,TW202538581A,2025-03-06,AI學習資料集之生成方法,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,日商斯庫林集團,TW202603499A,2025-03-04,基板處理方法及基板處理裝置,,,,,,,,,,,,
2026-01-15,main,電腦視覺與影像處理,宏達國際電子,TW202536795A,2025-02-26,用於圖像查看的電子裝置和方法,,2498,2026-02-04,2.91,-26.22,10,-7.43,-20.17,24.5,45.8,47,
2026-01-15,main,記憶體與儲存裝置,大陸商長江存儲科技有限責任公司,TW202541040A,2025-02-25,記憶體系統中的資料儲存,,,,,,,,,,,,
2026-01-15,main,光學元件與光通訊,日商科盛德光罩,TW202536525A,2025-02-25,反射型空白光罩、反射型光罩及反射型光罩之製造方法,,,,,,,,,,,,
2026-01-15,main,記憶體與儲存裝置,大陸商長江存儲科技有限責任公司,TW202603717A,2025-02-21,管理記憶體裝置中的初始化,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,日日新半導體架構,TW202535193A,2025-02-21,半導體裝置結構,,,,,,,,,,,,
2026-01-15,main,光學元件與光通訊,家登精密工業,TW202540766A,2025-02-18,非等邊矩形光罩容器,,3680,2026-02-04,0.3,49.17,9,-12.33,-29.24,-68.08,413.5,396.9,
2026-01-15,main,半導體設備,日商東京威力科創,TW202601300A,2025-02-18,利用基於軌跡之先進圖案化製程形成溝槽的方法及組成物,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,台灣積體電路製造,TW202545318A,2025-02-17,半導體結構及其形成方法,,2330,2026-02-04,0.31,20.43,10,30.31,33.96,38.78,1785,882.1,
2026-01-15,decline,半導體結構與製程,日商鎧俠,TWI905028B,2025-02-17,半導體記憶裝置,5,,,,,,,,,,,
2026-01-15,main,電動車與新能源車,宏汭精測科技,TWI906147B,2025-02-14,氮化鎵功率電路及氮化鎵驅動功率裝置,93,,,,,,,,,,,
2026-01-15,main,半導體設備,日商佳能,TW202601296A,2025-02-14,曝光裝置及其控制方法、資訊處理裝置及資訊處理方法、程式產品以及物品製造方法,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,日日新半導體架構,TW202535197A,2025-02-14,半導體電路結構,,,,,,,,,,,,
2026-01-15,main,光學投影,南韓商三星電子,TW202544746A,2025-02-12,延展實境（ＸＲ）裝置及其操作方法,,,,,,,,,,,,
2026-01-15,decline,電腦視覺與影像處理,國立臺灣科技大學,TWI907265B,2025-02-12,可讀性預測裝置及方法,23,,,,,,,,,,,
2026-01-15,decline,虛擬實境與數位模擬,以色列商應用材料以色列公司,TW202542776A,2025-02-11,訓練和使用用於缺陷偵測的神經網路,,,,,,,,,,,,
2026-01-15,main,記憶體與儲存裝置,南韓商三星電子,TW202538759A,2025-02-11,糾錯碼電路、包含其的記憶體系統以及糾錯方法,,,,,,,,,,,,
2026-01-15,main,記憶體與儲存裝置,群聯電子,TWI911046B,2025-02-11,讀取方法、記憶體儲存裝置與記憶體控制電路單元,35,8299,2026-02-04,0.2,92.68,10,30.08,44.88,16.56,2055,1275.6,
2026-01-15,main,電腦視覺與影像處理,中國信託商業銀行,TWM668902U,2025-02-07,影像擴增裝置,,,,,,,,,,,,
2026-01-15,main,記憶體與儲存裝置,美商谷歌有限責任公司,TW202536875A,2025-02-07,多埠記憶體測試,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,銓心半導體異質整合 | 鈺創科技,TW202533718A,2025-02-07,半導體裝置及其製造方法,,,,,,,,,,,,
2026-01-15,main,半導體設備,德商布魯克斯自動化(德國),TW202548416A,2025-02-06,存放器系統,,,,,,,,,,,,
2026-01-15,decline,平面顯示器,美商高通公司,TW202541008A,2025-02-06,ESYNC混合模式,,,,,,,,,,,,
2026-01-15,main,記憶體與儲存裝置,英商ARM,TW202533231A,2025-02-06,用以偵測循環計數以增加記憶體之讀取及寫入操作之處理量的電路系統,,,,,,,,,,,,
2026-01-15,main,記憶體與儲存裝置,英商ARM,TW202601656A,2025-02-06,用於靜態隨機存取記憶體中讀取之增加之處理量,,,,,,,,,,,,
2026-01-15,main,發光半導體,友達光電,TWI913105B,2025-02-04,發光元件基板及其製造方法,54,2409,2026-02-04,1.19,2.42,1,-10.08,-20.87,-482.9,15.15,14.2,
2026-01-15,main,半導體結構與製程,崇越科技,TWM670002U,2025-02-03,電容結構及包括其的電子裝置,,5434,2026-02-04,0.6,18.88,2,14.13,10.19,10.41,330.5,281.6,
2026-01-15,main,半導體結構與製程,南韓商三星電子,TW202541612A,2025-01-24,具有中間隔離區的叉片堆疊電晶體結構及其製造方法,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,台灣積體電路製造,TW202536540A,2025-01-24,製造半導體裝置的方法及堆疊式結構,,2330,2026-02-04,0.31,20.43,10,30.31,33.96,38.78,1785,882.1,
2026-01-15,main,半導體結構與製程,台灣積體電路製造 | 大陸商台積電(中國),TW202545333A,2025-01-24,積體電路及其形成方法,,,,,,,,,,,,
2026-01-15,main,記憶體與儲存裝置,日商索尼半導體解決方案公司,TW202541022A,2025-01-24,半導體晶片、半導體裝置、及資訊處理系統,,,,,,,,,,,,
2026-01-15,main,記憶體與儲存裝置,南亞科技,TWI906127B,2025-01-23,記憶體裝置的電壓監測器和晶片外驅動器,70,2408,2026-02-04,0.19,444.87,10,130.91,1213.94,144.67,295,218.2,
2026-01-15,main,半導體結構與製程,日商住友電工器件創新,TW202541615A,2025-01-23,半導體裝置,,,,,,,,,,,,
2026-01-15,main,半導體設備,日商信越化學工業,TW202540779A,2025-01-23,圖案形成方法、及疊層體,,,,,,,,,,,,
2026-01-15,main,記憶體與儲存裝置,英商ARM,TW202533227A,2025-01-23,用於寫入記憶體之增加的處理量,,,,,,,,,,,,
2026-01-15,decline,平面顯示器,英商普羅科技,TW202546802A,2025-01-23,用以控制擴增實境顯示裝置之方法,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,南韓商三星電子,TW202604300A,2025-01-21,半導體裝置,,,,,,,,,,,,
2026-01-15,main,光學元件與光通訊,美商恩特葛瑞斯,TW202536531A,2025-01-21,光罩容器之光罩限制器,,,,,,,,,,,,
2026-01-15,main,記憶體與儲存裝置,韓商愛思開海力士,TW202536865A,2025-01-20,記憶體裝置及資料儲存裝置,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,美商安托梅拉公司,TW202543418A,2025-01-17,包含具超晶格層的化合物半導體材料的半導體元件,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,美商安托梅拉公司,TW202543419A,2025-01-17,包含化合物半導體材料及超晶格層的壓電元件,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,台灣積體電路製造,TW202547301A,2025-01-15,電晶體裝置及其製造方法,,2330,2026-02-04,0.31,20.43,10,30.31,33.96,38.78,1785,882.1,
2026-01-15,main,記憶體與儲存裝置,美商高通公司,TW202536793A,2025-01-14,透過未來圖框的圖形工作負載的最佳化,,,,,,,,,,,,
2026-01-15,main,半導體設備,南韓商三星電子,TW202603506A,2025-01-13,半導體處理設備,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,台灣積體電路製造,TW202543409A,2025-01-10,半導體裝置結構及其形成方法,,2330,2026-02-04,0.31,20.43,10,30.31,33.96,38.78,1785,882.1,
2026-01-15,main,半導體結構與製程,台灣積體電路製造,TW202549575A,2025-01-10,半導體裝置與其製造方法,,2330,2026-02-04,0.31,20.43,10,30.31,33.96,38.78,1785,882.1,
2026-01-15,main,記憶體與儲存裝置,南韓商三星電子,TW202529102A,2025-01-07,具基於互斥或之記憶體修復的設備以及處理器實施方法,,,,,,,,,,,,
2026-01-15,decline,平面顯示器,南韓商三星顯示器,TW202603688A,2025-01-07,顯示裝置及拉伸補償之影像資料校正方法,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,台灣積體電路製造,TW202537443A,2025-01-07,半導體元件及其形成方法,,2330,2026-02-04,0.31,20.43,10,30.31,33.96,38.78,1785,882.1,
2026-01-15,main,半導體結構與製程,南韓商三星電子,TW202528831A,2025-01-03,產生半導體圖案之方法及運算裝置,,,,,,,,,,,,
2026-01-15,main,半導體設備,日商日本碍子,TW202540760A,2025-01-03,EUV穿透膜及其加工方法和曝光方法,,,,,,,,,,,,
2026-01-15,main,半導體設備,日商日本碍子,TW202601271A,2025-01-03,ＥＵＶ穿透膜、光罩護膜及曝光方法,,,,,,,,,,,,
2026-01-15,main,光學元件與光通訊,家登精密工業,TW202548421A,2025-01-02,開關式支撐機構及其應用之光罩容器,,3680,2026-02-04,0.3,49.17,9,-12.33,-29.24,-68.08,413.5,396.9,
2026-01-15,main,電源管理,日商美蓓亞功率半導體,TW202531895A,2025-01-02,半導體裝置及使用其的電力轉換裝置,,,,,,,,,,,,
2026-01-15,main,記憶體與儲存裝置,南韓商三星電子,TW202533245A,2024-12-31,用以估計記憶體裝置之已使用壽命之模型化方法、使用此方法計算記憶體裝置之剩餘有用壽命之方法以及執行該方法之系統,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,台灣積體電路製造,TW202539409A,2024-12-31,半導體裝置結構的製造方法,,2330,2026-02-04,0.31,20.43,10,30.31,33.96,38.78,1785,882.1,
2026-01-15,decline,數據分析與軟體工具,國立中山大學,TWI895207B,2024-12-30,基於梯度差分累加非負矩陣分解之影像處理方法及裝置,3,,,,,,,,,,,
2026-01-15,main,半導體設備,日商AGC,TW202540761A,2024-12-30,反射型光罩基底、反射型光罩及反射型光罩之製造方法,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,美商應用材料,TW202547303A,2024-12-30,全環繞閘極裝置的形成,,,,,,,,,,,,
2026-01-15,decline,生物辨識與數位身份,大陸商中國銀聯,TWI903954B,2024-12-27,對人臉識別攻擊的檢測方法、裝置、設備及介質,6,,,,,,,,,,,
2026-01-15,main,記憶體與儲存裝置,南韓商三星電子,TW202546836A,2024-12-26,記憶體裝置、包含該記憶體裝置的儲存裝置及該儲存裝置的操作方法,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,台灣積體電路製造,TW202549530A,2024-12-26,半導體裝置結構及其形成方法,,2330,2026-02-04,0.31,20.43,10,30.31,33.96,38.78,1785,882.1,
2026-01-15,decline,AI晶片與硬體加速器,大陸商中國銀聯,TW202536726A,2024-12-26,大模型的訓練方法、裝置、設備及儲存媒體,,,,,,,,,,,,
2026-01-15,decline,AI晶片與硬體加速器,大陸商中國銀聯,TWI884895B,2024-12-26,大模型的訓練方法、裝置、設備及儲存媒體,56,,,,,,,,,,,
2026-01-15,main,半導體設備,日商HOYA | 新加坡商HOYA電子新加坡私人,TW202534423A,2024-12-25,附導電膜基板、附多層反射膜基板、反射型遮罩基底、反射型遮罩及半導體裝置之製造方法,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,美商杜邦電子材料國際有限責任公司,TW202546552A,2024-12-25,形成半導體裝置的方法,,,,,,,,,,,,
2026-01-15,decline,無線通訊與網路,財團法人工業技術研究院,TWI902585B,2024-12-25,三維粗粒度可重構陣列架構系統及三維粗粒度可重構陣列架構系統的控制方法,52,,,,,,,,,,,
2026-01-15,decline,自動控制與機器人,美商微軟技術授權有限責任公司,TW202536721A,2024-12-24,用於覆蓋率收斂的多代理強化學習系統,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,日商半導體能源研究所,TW202529564A,2024-12-23,半導體裝置及半導體裝置的製造方法,,,,,,,,,,,,
2026-01-15,decline,光學元件與光通訊,日商索尼半導體解決方案公司,TW202537292A,2024-12-20,光檢測裝置、及光檢測系統,,,,,,,,,,,,
2026-01-15,main,記憶體與儲存裝置,美商愛思開海力士存儲器產品解決方案公司(亦以思得名稱營業),TW202536874A,2024-12-20,使用軟讀取之背景資料再新,,,,,,,,,,,,
2026-01-15,main,記憶體與儲存裝置,美商特憶智能科技公司,TW202542920A,2024-12-20,用於基於多級單元的記憶體器件的錯誤檢測與糾正的增強型錯誤更正碼,,,,,,,,,,,,
2026-01-15,decline,量子電腦與運算,西班牙商多元宇宙計算,TW202533101A,2024-12-20,實施量子機器學習的對稱張量網路及其相關方法的系統和方法,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,鴻海精密工業,TWI909887B,2024-12-20,碳化矽功率元件的製造方法,79,2317,2026-02-04,0.84,31.77,1,11.02,13.97,28.78,219,182.7,
2026-01-15,decline,電腦視覺與影像處理,仁寶電腦工業,TW202529450A,2024-12-19,終端設備、資訊捕捉及分析系統及其方法,,2324,2026-02-04,1.12,2.98,1,-23.41,-13.31,-42.86,32.35,30.3,
2026-01-15,main,光學投影,美商希瑪有限責任公司,TW202536552A,2024-12-19,風扇、風扇外殼、輻射源、微影設備及其方法,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,台灣積體電路製造,TW202602265A,2024-12-18,半導體裝置與其形成方法,,2330,2026-02-04,0.31,20.43,10,30.31,33.96,38.78,1785,882.1,
2026-01-15,main,記憶體與儲存裝置,大陸商星宸科技,TWI910970B,2024-12-18,記憶體介面電路與記憶體控制方法,9,,,,,,,,,,,
2026-01-15,main,發光半導體,德商阿勒斯半導體公司,TW202537475A,2024-12-18,半導體結構、光電裝置及製造方法,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,美商應用材料,TW202537442A,2024-12-18,環繞式閘極(GAA)奈米片裝置中之源極/汲極(S/D)磊晶生長,,,,,,,,,,,,
2026-01-15,main,光學元件與光通訊,長春人造樹脂廠,TWI898961B,2024-12-18,感光性樹脂膜及其應用,45,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,台灣積體電路製造,TW202543413A,2024-12-17,積體電路與其形成方法,,2330,2026-02-04,0.31,20.43,10,30.31,33.96,38.78,1785,882.1,
2026-01-15,main,半導體結構與製程,台灣積體電路製造 | 國立陽明交通大學,TW202547297A,2024-12-17,半導體裝置及其形成方法,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,南韓商三星電子,TW202535200A,2024-12-16,3D積體電路及積體電路,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,美商應用材料,TW202549527A,2024-12-16,用於ＣＦＥＴ中的源極／汲極磊晶期間的元件隔離的自下而上的介電質間隙填充,,,,,,,,,,,,
2026-01-15,main,記憶體與儲存裝置,美商桑迪士克科技有限責任公司,TW202533238A,2024-12-16,高頻寬非揮發性記憶體,,,,,,,,,,,,
2026-01-15,main,被動元件,美商高通公司,TW202533724A,2024-12-16,用於靜電放電（ＥＳＤ）保護的緊湊型二極體,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,南韓商三星電子 | 漢陽大學校 產學協力團,TW202537427A,2024-12-13,半導體裝置,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,台灣積體電路製造,TW202525055A,2024-12-13,半導體裝置及其製造方法,,2330,2026-02-04,0.31,20.43,10,30.31,33.96,38.78,1785,882.1,
2026-01-15,main,半導體結構與製程,台灣積體電路製造,TWI910966B,2024-12-13,半導體裝置及其製造方法,24,2330,2026-02-04,0.31,20.43,10,30.31,33.96,38.78,1785,882.1,
2026-01-15,main,半導體設備,美商賽諾西斯公司,TW202532953A,2024-12-13,用於極紫外光微影之遮罩拼接,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,台灣積體電路製造 | 國立臺灣大學,TW202539426A,2024-12-12,半導體裝置及其形成方法,,,,,,,,,,,,
2026-01-15,main,記憶體與儲存裝置,美商谷歌有限責任公司,TW202542832A,2024-12-12,用於積體電路上記憶體異動之最佳化執行的硬體合併單元,,,,,,,,,,,,
2026-01-15,decline,平面顯示器,南韓商LG顯示器,TW202534656A,2024-12-11,顯示裝置,,,,,,,,,,,,
2026-01-15,main,平面顯示器,國民大學校產學協力團,TW202539474A,2024-12-11,利用超薄型LED元件的全彩LED顯示器及其製作方法,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,美商德州儀器公司,TW202545325A,2024-12-11,用於經改善安全操作區域的橫向擴散金屬氧化物半導體邊緣終端,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,美商應用材料,TW202543416A,2024-12-11,在半導體製造處理中對背側應力減緩與前側保護進行統一化,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,台灣積體電路製造,TW202602251A,2024-12-10,半導體結構及其製造方法,,2330,2026-02-04,0.31,20.43,10,30.31,33.96,38.78,1785,882.1,
2026-01-15,main,記憶體與儲存裝置,台灣積體電路製造,TWI913044B,2024-12-10,數位記憶體內計算系統及數位記憶體內計算編譯器,10,2330,2026-02-04,0.31,20.43,10,30.31,33.96,38.78,1785,882.1,
2026-01-15,main,半導體結構與製程,台灣積體電路製造 | 國立臺灣大學,TW202547300A,2024-12-06,半導體裝置及其形成方法,,,,,,,,,,,,
2026-01-15,main,晶圓封裝與測試,南韓商三星電子,TW202535164A,2024-12-05,三維電感器和包含其的多晶片封裝,,,,,,,,,,,,
2026-01-15,decline,晶圓封裝與測試,美商高通公司,TW202531149A,2024-12-05,包括介於顯示器堆疊與超音波指紋感測器堆疊之間的一或多個高阻抗層的裝置,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,台灣積體電路製造,TW202602282A,2024-12-04,半導體元件結構及形成方法,,2330,2026-02-04,0.31,20.43,10,30.31,33.96,38.78,1785,882.1,
2026-01-15,decline,電腦視覺與影像處理,日商花王,TW202536814A,2024-12-04,毛髮性狀推定裝置、毛髮性狀推定方法、毛髮性狀推定程式、毛髮性狀推定系統、可攜式終端、可攜式終端用程式及記憶媒體,,,,,,,,,,,,
2026-01-15,decline,電腦視覺與影像處理,財團法人亞洲大學,TWI906063B,2024-12-04,具有混合式深度學習手掌融合模型的手掌影像驗證方法,63,,,,,,,,,,,
2026-01-15,main,半導體設備,美商蘭姆研究公司,TW202538405A,2024-12-03,使用光感測器之光阻的原位製程監控,,,,,,,,,,,,
2026-01-15,decline,記憶體與儲存裝置,韓商愛思開海力士,TW202529095A,2024-12-03,經由封包進行通訊的堆疊記憶體裝置,,,,,,,,,,,,
2026-01-15,main,記憶體與儲存裝置,韓商愛思開海力士,TW202524489A,2024-12-02,用於執行刷新操作的儲存裝置及其操作方法,,,,,,,,,,,,
2026-01-15,main,半導體結構與製程,台灣積體電路製造,TW202602250A,2024-11-29,半導體結構及其形成方法,,2330,2026-02-04,0.31,20.43,10,30.31,33.96,38.78,1785,882.1,
2026-01-15,main,半導體結構與製程,日商京瓷,TW202527725A,2024-11-29,半導體基板及其製造方法、半導體基板之製造裝置以及半導體元件,,,,,,,,,,,,
2026-01-15,main,先進材料與奈米科技,美商應用材料,TW202536543A,2024-11-27,用於增進光阻表現之阻劑底層沉積,,,,,,,,,,,,
2026-01-15,main,半導體設備,美商沛思量子公司,TW202538404A,2024-11-27,形成縫合的光子結構之方法,,,,,,,,,,,,
