"","公司全名","更新日期","專利號","申請日","獲證日","PR","標題","專利摘要","預測年份","主分支","台灣公開發行","技術分類","股票代碼","產業別","資料時間","氣動值","月營收成長率","熱度值","營收成長率","毛利成長率","營益成長率","外資成本","投信成本","自營商成本","收盤價","加權後成本","市值權重%","趨勢機率%"
"11","世界先進積體電路","2024-11-18","TWI836520B","2022-07-21","2024-03-21",64,"半導體裝置及其製造方法","一種半導體裝置，包含第一導電類型的磊晶層設置於基底的表面上，溝槽設置於磊晶層中，閘極結構設置於溝槽內，包含上方導電部和下方導電部，介電分隔部設置於上方導電部和下方導電部之間，介電襯層設置於溝槽內且圍繞閘極結構，介電襯層具有開口位於溝槽的底面，下方導電部的一部分填充於開口中，且下方導電部與磊晶層的一部份構成蕭特基能障二極體，第二導電類型的摻雜區設置於磊晶層中，且位於溝槽的底面下和下方導電部的一側，其中磊晶層的上述部份和摻雜區的一部分皆與下方導電部接觸。","Y2024","main","Yes","半導體結構","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
"12","世界先進積體電路","2024-11-18","TWI817861B","2022-12-06","2023-10-01",82,"靜電放電保護裝置","一種靜電放電保護裝置，包括半導體基板、磊晶層、第一至第三井區、以及第一至第六摻雜區。磊晶層位於半導體基板上。第一至第三井區皆設置在磊晶層中。第三井區位於第一井區與第二井區之間。第一與第二摻雜區設置在第一井區上。第三與第四摻雜區設置在第二井區上。第五摻雜區設置在第三井區上，且第六摻雜區設置在第五摻雜區中。第三井區、第五摻雜區、以及第六摻雜區具有相同的導電類型。第一與第二摻雜區耦接一接合墊，以及第三與第四摻雜區耦接一接地端。當在接合墊上發生一靜電放電事件時，在接合墊與接地端之間形成一放電路徑。","Y2024","main","Yes","半導體結構製備","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
"13","世界先進積體電路","2024-11-18","TWI820979B","2022-10-25","2023-11-01",74,"半導體裝置","一種半導體裝置，包含高電子遷移率電晶體設置在環狀主動元件區中，以及電阻器設置在被環狀主動元件區圍繞的被動元件區中。高電子遷移率電晶體包含化合物半導體阻障層的第一部份堆疊在化合物半導體通道層的第一部份上，以及源極電極、閘極電極和汲極電極設置在化合物半導體阻障層的第一部份上。電阻器包含化合物半導體阻障層的第二部份堆疊在化合物半導體通道層的第二部份上，以及輸入端電極設置在化合物半導體阻障層的第二部份上，且位於被動元件區的中心。","Y2024","main","Yes","半導體結構","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
"14","世界先進積體電路","2024-11-18","TWI817691B","2022-09-01","2023-10-01",30,"半導體裝置","本發明實施例提供半導體裝置。半導體裝置包括半導體基板、第一深井區、至少兩個第二井區、至少一隔離結構以及佈植區。第一深井區設置於半導體基板中，其中第一深井區具有第一導電類型。至少兩個第二井區設置於第一深井區上，其中第二井區具有第二導電類型。隔離結構覆蓋部分第一深井區，且圍繞至少部分第二井區。佈植區設置半導體基板頂面下，其中佈植區具有不連續部分，不連續部分與第一深井區部分重疊。","Y2024","main","Yes","半導體結構製備","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
"15","世界先進積體電路","2024-11-18","TWI844185B","2022-12-05","2024-06-01",45,"半導體結構及其形成方法","本揭露提供一種半導體結構，包括：基底，具有第一導電類型；磊晶層，設置於基底上且具有第一導電類型，其中在磊晶層的上部具有突出結構；井區，設置於磊晶層中，且井區具有第二導電類型；絕緣結構，設置於突出結構的側壁上； 上電極層，圍繞突出結構，且上電極層電性連接至磊晶層及井區；以及下電極層，設置於基底下且與磊晶層相對。","Y2024","main","Yes","半導體結構","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
"16","世界先進積體電路","2024-11-18","TWI838121B","2023-02-14","2024-04-01",30,"半導體結構","提供一種半導體結構。此半導體結構包含基板、高壓井、以及井區。高壓井設置於基板中。高壓井具有第一導電類型。井區設置於高壓井中。井區具有不同於第一導電類型的第二導電類型。井區的第一邊沿著第一方向延伸並且具有至少一開口。","Y2024","main","Yes","半導體結構製備","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
"17","世界先進積體電路","2024-11-18","TWI838121B","2023-02-14","2024-04-01",30,"半導體結構","提供一種半導體結構。此半導體結構包含基板、高壓井、以及井區。高壓井設置於基板中。高壓井具有第一導電類型。井區設置於高壓井中。井區具有不同於第一導電類型的第二導電類型。井區的第一邊沿著第一方向延伸並且具有至少一開口。","Y2024","main","Yes","半導體結構","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
"18","世界先進積體電路","2024-11-18","TWI817861B","2022-12-06","2023-10-01",82,"靜電放電保護裝置","一種靜電放電保護裝置，包括半導體基板、磊晶層、第一至第三井區、以及第一至第六摻雜區。磊晶層位於半導體基板上。第一至第三井區皆設置在磊晶層中。第三井區位於第一井區與第二井區之間。第一與第二摻雜區設置在第一井區上。第三與第四摻雜區設置在第二井區上。第五摻雜區設置在第三井區上，且第六摻雜區設置在第五摻雜區中。第三井區、第五摻雜區、以及第六摻雜區具有相同的導電類型。第一與第二摻雜區耦接一接合墊，以及第三與第四摻雜區耦接一接地端。當在接合墊上發生一靜電放電事件時，在接合墊與接地端之間形成一放電路徑。","Y2024","main","Yes","半導體結構","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
"19","世界先進積體電路","2024-11-18","TWI836689B","2022-11-01","2024-03-21",93,"半導體裝置及其形成方法","一種半導體裝置，包括具有第一導電類型的一基底；形成於前述基底上的一磊晶層，且前述磊晶層具有第一導電類型；自前述磊晶層的頂表面延伸至前述磊晶層中的一溝槽結構，前述溝槽結構包括一導電部以及包覆前述導電部的側壁和底部的一絕緣層；自前述磊晶層的頂表面延伸至前述磊晶層中的一井區，前述井區具有一第二導電類型，且前述井區的第一側壁接觸前述溝槽結構，其中在前述井區的一側和下方為一飄移區，前述飄移區具有第一導電類型且與井區的第二側壁和底表面接觸。半導體裝置更包括形成於前述磊晶層的頂表面上並對應井區的一閘極結構。","Y2024","main","Yes","半導體結構製備","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
"20","世界先進積體電路","2024-11-18","TWI842323B","2023-01-03","2024-05-11",46,"半導體結構及靜電放電保護裝置","一種半導體結構，包括一基底、一第一井區、一第一摻雜區、一第二摻雜區、一第三摻雜區、一第二井區、一第四摻雜區以及一第五摻雜區。基底具有一第一導電型。第一井區設置於基底之中，並具有一第二導電型。第一摻雜區設置於第一井區之中，並具有第二導電型。第二摻雜區設置於第一井區之中，並具有第一導電型。第三摻雜區設置於第一井區之中，並具有第一導電型。第二井區設置於第一井區之中。第四摻雜區設置於第二井區之中，並具有第一導電型。第五摻雜區設置於第二井區之中，並具有第二導電型。","Y2024","main","Yes","半導體結構","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
"21","世界先進積體電路","2024-11-18","TWI823639B","2022-10-20","2023-11-21",83,"半導體裝置及其形成方法","一種半導體裝置，包括具有一第一導電類型的一基底、形成於前述基底上的一磊晶層、自前述磊晶層的頂表面延伸至磊晶層中的一井區、形成於前述磊晶層中且與前述井區的底表面接觸的一飄移區、一閘極結構以及一導電結構。前述磊晶層具有前述第一導電類型，前述井區具有一第二導電類型，且前述飄移區具有前述第一導電類型。前述閘極結構是自前述磊晶層的前述頂表面延伸穿過前述井區並且接觸前述飄移區。前述導電結構形成於前述飄移區中且位於前述閘極結構的下方，其中前述閘極結構的一閘極介電層分隔前述導電結構和前述閘極結構的一閘極電極。","Y2024","main","Yes","半導體結構","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
"22","世界先進積體電路","2024-11-18","TWI838840B","2022-08-31","2024-04-11",65,"晶圓後段製程的處理方法及晶圓級半導體結構","一種晶圓後段製程的處理方法，包含提供晶圓，晶圓包括相對設置的正面和背面，其中在晶圓的正面和背面之間形成有複數個半導體元件，互連結構層形成於該些半導體元件上，且晶圓被複數條切割道劃分成複數個晶粒單元，施行研磨製程從晶圓的背面將晶圓薄化，沿著該些條切割道，將互連結構層的一部分和該晶圓的一部分去除，以在晶圓的正面形成凹槽，以及在晶圓薄化且形成凹槽後，在晶圓的背面上形成導電層，其中導電層縱向分離於凹槽的底面。","Y2024","main","Yes","半導體結構","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
"23","世界先進積體電路","2024-11-18","TWI836520B","2022-07-21","2024-03-21",64,"半導體裝置及其製造方法","一種半導體裝置，包含第一導電類型的磊晶層設置於基底的表面上，溝槽設置於磊晶層中，閘極結構設置於溝槽內，包含上方導電部和下方導電部，介電分隔部設置於上方導電部和下方導電部之間，介電襯層設置於溝槽內且圍繞閘極結構，介電襯層具有開口位於溝槽的底面，下方導電部的一部分填充於開口中，且下方導電部與磊晶層的一部份構成蕭特基能障二極體，第二導電類型的摻雜區設置於磊晶層中，且位於溝槽的底面下和下方導電部的一側，其中磊晶層的上述部份和摻雜區的一部分皆與下方導電部接觸。","Y2024","main","Yes","半導體結構製備","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
"24","世界先進積體電路","2024-11-18","TWI843628B","2023-07-13","2024-05-21",57,"靜電放電保護裝置及電晶體結構","一種靜電放電保護裝置，包括一基底、一深井區、一第一井區、一第二井區、一第三井區、一第四井區、一第五井區、一第一摻雜區、一第二摻雜區、一第三摻雜區以及一閘極結構。深井區形成於基底之上。第一至第四井區形成於深井區之上。第五井區形成於第四井區之中。第一摻雜區形成於第一井區之中。第二摻雜區形成於第二井區之中。第三摻雜區形成於第四井區之中。閘極結構覆蓋第三井區。基底、第二井區、第四井區、第二摻雜區、第三摻雜區具有第一導電型。深井區、第一井區、第三井區、第五井區、第一摻雜區具有第二導電型。","Y2024","main","Yes","半導體結構製備","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
"25","世界先進積體電路","2024-11-18","TWI813426B","2022-08-25","2023-08-21",31,"半導體結構及其製造方法","一種半導體結構的製造方法，包括提供基底；在基底上方形成圖案化硬質遮罩層；蝕刻前述的圖案化硬質遮罩層，使圖案化硬質遮罩層有一孔洞至少貫穿圖案化硬質遮罩層；在孔洞中形成阻障部；去除圖案化硬質遮罩層；在基底內形成井區並對應阻障部；以及形成閘極結構於基底上。形成閘極結構包括形成介電基體部於基底上，阻障部連接介電基體部的一端，阻障部的厚度大於介電基體部的厚度，介電基體部和阻障部形成閘極介電層；在閘極介電層上形成閘極電極；及形成閘極間隔物於閘極電極的相對側壁上，並去除阻障部的一部分而使阻障部具有一缺角。","Y2024","main","Yes","半導體結構製備","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
"26","世界先進積體電路","2024-11-18","TWI826067B","2022-10-25","2023-12-11",6,"半導體裝置","一種半導體裝置，包括一基底，具有一第一導電類型；一磊晶層，形成於前述基底上，且磊晶層具有第一導電類型；一井區形成於磊晶層中且具有一第二導電類型；一絕緣柱體，在磊晶層中延伸；一第一摻雜區形成於磊晶層中且圍繞絕緣柱體的側壁；一第二摻雜區具有第二導電類型且位於第一摻雜區的下方更接近基底；以及一閘極結構，設置於前述絕緣柱體的一側且彼此相隔開來，且前述閘極結構延伸至前述磊晶層中。前述第一摻雜區具有第二導電類型，前述絕緣柱體係自前述第一摻雜區的頂部延伸貫穿前述第一摻雜區的底部且第一摻雜區與井區電性連接。","Y2024","main","Yes","半導體結構","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
"27","世界先進積體電路","2024-11-18","TWI815537B","2022-07-01","2023-09-11",19,"微機電裝置及其製造方法","一種微機電(MEMS)裝置，包含支撐基板、空腔、停止部件、微機電結構和鍵合介電層。空腔位於支撐基板的頂面，停止部件與空腔相鄰，停止部件的頂面與支撐基板的頂面在同一高度。微機電結構設置於支撐基板上，微機電結構包含質量塊和懸臂，質量塊設置在停止部件正上方，懸臂設置在空腔正上方，鍵合介電層設置在支撐基板的頂面和微機電結構的底面之間。","Y2024","main","Yes","半導體結構製備","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
"28","世界先進積體電路","2024-11-18","TWI813426B","2022-08-25","2023-08-21",31,"半導體結構及其製造方法","一種半導體結構的製造方法，包括提供基底；在基底上方形成圖案化硬質遮罩層；蝕刻前述的圖案化硬質遮罩層，使圖案化硬質遮罩層有一孔洞至少貫穿圖案化硬質遮罩層；在孔洞中形成阻障部；去除圖案化硬質遮罩層；在基底內形成井區並對應阻障部；以及形成閘極結構於基底上。形成閘極結構包括形成介電基體部於基底上，阻障部連接介電基體部的一端，阻障部的厚度大於介電基體部的厚度，介電基體部和阻障部形成閘極介電層；在閘極介電層上形成閘極電極；及形成閘極間隔物於閘極電極的相對側壁上，並去除阻障部的一部分而使阻障部具有一缺角。","Y2024","main","Yes","半導體結構","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
"29","世界先進積體電路","2024-11-18","TWI815537B","2022-07-01","2023-09-11",19,"微機電裝置及其製造方法","一種微機電(MEMS)裝置，包含支撐基板、空腔、停止部件、微機電結構和鍵合介電層。空腔位於支撐基板的頂面，停止部件與空腔相鄰，停止部件的頂面與支撐基板的頂面在同一高度。微機電結構設置於支撐基板上，微機電結構包含質量塊和懸臂，質量塊設置在停止部件正上方，懸臂設置在空腔正上方，鍵合介電層設置在支撐基板的頂面和微機電結構的底面之間。","Y2024","main","Yes","半導體結構","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
"30","世界先進積體電路","2024-11-18","TWI838840B","2022-08-31","2024-04-11",65,"晶圓後段製程的處理方法及晶圓級半導體結構","一種晶圓後段製程的處理方法，包含提供晶圓，晶圓包括相對設置的正面和背面，其中在晶圓的正面和背面之間形成有複數個半導體元件，互連結構層形成於該些半導體元件上，且晶圓被複數條切割道劃分成複數個晶粒單元，施行研磨製程從晶圓的背面將晶圓薄化，沿著該些條切割道，將互連結構層的一部分和該晶圓的一部分去除，以在晶圓的正面形成凹槽，以及在晶圓薄化且形成凹槽後，在晶圓的背面上形成導電層，其中導電層縱向分離於凹槽的底面。","Y2024","main","Yes","半導體結構製備","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
"31","世界先進積體電路","2024-11-18","TWI844342B","2023-04-25","2024-06-01",50,"光學結構及其形成方法","本揭露提供一種光學結構的形成方法，包括：提供一基板，其中該基板包括一下包覆層以及設置於該下包覆層上的一光通道材料層；對該光通道材料層進行至少一局部氧化製程以形成嵌入該光通道材料層的多個氧化部件；以及進行一圖案化製程以將該光通道材料層圖案化為一光通道層，且在該光通道層的頂部具有一弧面，其中該下包覆層的一介電常數小於該光通道層的一介電常數。","Y2024","main","Yes","半導體結構製備","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
"32","世界先進積體電路","2024-11-18","TWI836757B","2022-11-30","2024-03-21",56,"光感測裝置","本發明實施例提供光感測裝置。光感測裝置包括半導體基板、隔離部件、第一摻雜區、第二摻雜區以及第三摻雜區。半導體基板具有第一導電類型。半導體基板包括感測區以及圍繞感測區的隔離區。第一摻雜區位於感測區中。第一摻雜區具有第二導電類型。第二摻雜區位於感測區中，且位於第一摻雜區上方。第二摻雜區具有第二導電類型。第三摻雜區位於感測區中，且位於第二摻雜區上。第三摻雜區具有第一導電類型。在剖面圖中，第一摻雜區具有第一長度，第二摻雜區具有第二長度，第二長度與第一長度的第一比值大於0且小於1。","Y2024","main","Yes","半導體結構","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
"33","世界先進積體電路","2024-11-18","TWI844185B","2022-12-05","2024-06-01",45,"半導體結構及其形成方法","本揭露提供一種半導體結構，包括：基底，具有第一導電類型；磊晶層，設置於基底上且具有第一導電類型，其中在磊晶層的上部具有突出結構；井區，設置於磊晶層中，且井區具有第二導電類型；絕緣結構，設置於突出結構的側壁上； 上電極層，圍繞突出結構，且上電極層電性連接至磊晶層及井區；以及下電極層，設置於基底下且與磊晶層相對。","Y2024","main","Yes","半導體結構製備","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
"34","世界先進積體電路","2024-11-18","TWI843628B","2023-07-13","2024-05-21",57,"靜電放電保護裝置及電晶體結構","一種靜電放電保護裝置，包括一基底、一深井區、一第一井區、一第二井區、一第三井區、一第四井區、一第五井區、一第一摻雜區、一第二摻雜區、一第三摻雜區以及一閘極結構。深井區形成於基底之上。第一至第四井區形成於深井區之上。第五井區形成於第四井區之中。第一摻雜區形成於第一井區之中。第二摻雜區形成於第二井區之中。第三摻雜區形成於第四井區之中。閘極結構覆蓋第三井區。基底、第二井區、第四井區、第二摻雜區、第三摻雜區具有第一導電型。深井區、第一井區、第三井區、第五井區、第一摻雜區具有第二導電型。","Y2024","main","Yes","半導體結構","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
"35","世界先進積體電路","2024-11-18","TWI817691B","2022-09-01","2023-10-01",30,"半導體裝置","本發明實施例提供半導體裝置。半導體裝置包括半導體基板、第一深井區、至少兩個第二井區、至少一隔離結構以及佈植區。第一深井區設置於半導體基板中，其中第一深井區具有第一導電類型。至少兩個第二井區設置於第一深井區上，其中第二井區具有第二導電類型。隔離結構覆蓋部分第一深井區，且圍繞至少部分第二井區。佈植區設置半導體基板頂面下，其中佈植區具有不連續部分，不連續部分與第一深井區部分重疊。","Y2024","main","Yes","半導體結構","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
"36","世界先進積體電路","2024-11-18","TWI823639B","2022-10-20","2023-11-21",83,"半導體裝置及其形成方法","一種半導體裝置，包括具有一第一導電類型的一基底、形成於前述基底上的一磊晶層、自前述磊晶層的頂表面延伸至磊晶層中的一井區、形成於前述磊晶層中且與前述井區的底表面接觸的一飄移區、一閘極結構以及一導電結構。前述磊晶層具有前述第一導電類型，前述井區具有一第二導電類型，且前述飄移區具有前述第一導電類型。前述閘極結構是自前述磊晶層的前述頂表面延伸穿過前述井區並且接觸前述飄移區。前述導電結構形成於前述飄移區中且位於前述閘極結構的下方，其中前述閘極結構的一閘極介電層分隔前述導電結構和前述閘極結構的一閘極電極。","Y2024","main","Yes","半導體結構製備","5347","半導體","2024-11-15",0.57,16.96,7,11.81,22.39,33.9,103.6,100.7,93.8,90.9,100.5,0.21262,0
