"","專利號","公司全名","更新日期","計算終止日","申請日","獲證日","標題","專利摘要","主分支","公開發行","技術大類","PR","股票代碼","產業別","收盤時間","氣動值","月營收成長率","熱度值","營收成長率","毛利成長率","營益成長率","外資成本","投信成本","自營商成本","收盤價","加權後成本","市值權重%","趨勢機率%","區域"
"11","TW202318114A","日商佳能","2025-09-19","2025-09-15","2022-10-06",NA,"曝光裝置、曝光方法及物品之製造方法","[課題]本發明，提供有利於降低在基板上發生的曝光不均的曝光裝置。        [解決手段]針對基板中的同一照射區域進行複數次掃描曝光的曝光裝置，具備：光源部，其週期性地射出脈衝光；以及控制部，其使用從前述光源部射出的脈衝光來控制前述複數次掃描曝光；前述控制部，以使在前述複數次掃描曝光中的各次掃描曝光中在前述照射區域上週期性地發生的曝光不均透過前述複數次掃描曝光而至少部分地抵消的方式，依前述曝光不均的週期，在前述複數次掃描曝光中變更掃描曝光中的來自前述光源部的脈衝光的射出開始時序。","branch",NA,"半導體設備",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"12","TW202318264A","大陸商中國銀聯","2025-09-19","2025-09-15","2022-10-18",NA,"用於多方安全計算系統的生物特徵提取方法及設備、電腦儲存媒介、電腦程式產品","本發明涉及一種用於多方安全計算系統的生物特徵提取方法，所述生物特徵提取方法包括：獲取生物特徵預處理分片；以及對所述預處理分片利用神經網路進行特徵提取，其中，在前N層卷積、池化層中通過多方安全計算的方式分別針對所述預處理分片進行資料計算而得到中間資料；在第N層之後的卷積、池化層中，將所述中間資料歸集至單方伺服器平臺進行後續計算，並在輸入全連接層後完成特徵提取。本發明還涉及一種用於多方安全計算系統的生物特徵提取設備、電腦儲存媒介以及電腦程式產品。","decline",NA,"生物辨識與數位身份",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"13","TW202318423A","韓商愛思開海力士","2025-09-19","2025-09-15","2022-10-24",NA,"半導體裝置","一種半導體裝置可以包括至少一個記憶體單元。記憶體單元可以包括：第一電極層；第二電極層；以及自選擇記憶體層，其介於所述第一電極層和所述第二電極層之間並呈現不同的電阻狀態以儲存資料，並且被建構為回應於施加到第一電極層和第二電極層的電壓而導電或不導電，其中自選擇記憶體層包括：鐵電層，其具有用於捕獲導電載子的深陷阱，以及第一摻雜劑，其被摻雜在鐵電層中以形成淺陷阱，為導電載子在鐵電層中移動提供導電路徑。","decline",NA,"記憶體與儲存裝置",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"14","TW202318472A","日商住友重機械離子科技","2025-09-19","2025-09-15","2022-10-21",NA,"離子植入方法、離子植入裝置及半導體元件的製造方法","[課題]提高離子植入製程中的生產性。        [解決手段]離子植入方法包括如下步驟：根據第1掃描訊號生成第1掃描射束之步驟；在複數個測定位置，利用射束測定裝置測定第1掃描射束的射束電流之步驟；根據經測定之射束電流的時間波形和確定為第1掃描訊號之掃描指令值的時間波形計算射束電流矩陣之步驟；藉由對經測定之射束電流進行時間積分，計算第1掃描射束的第1射束電流密度分布之步驟；根據第1射束電流密度分布，補正射束電流矩陣的各成分的值之步驟；以及根據經補正之射束電流矩陣，生成用以實現作為目標的射束電流密度分布之第2掃描訊號之步驟。","main",NA,"半導體結構與製程",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"15","TW202319832A","南韓商SK恩普士","2025-09-19","2025-09-15","2022-10-27",NA,"空白遮罩、使用其之光罩以及半導體器件的製造方法","本發明關於一種空白遮罩、使用其的光罩以及半導體器件的製造方法，所述空白遮罩包括透光基板及配置在透光基板的多層遮光膜。多層遮光膜包括第一遮光膜和第二遮光膜。式1中的多層遮光膜的EA值為2nm 2以下：[式1]EA=（BC-AC）/2。BC值是在清洗前測定的多層遮光膜的截面面積。AC值是將空白遮罩在SC-1溶液中浸漬800秒並用臭氧水沖洗後測定的多層遮光膜的截面面積。SC-1溶液是包含14.3重量%的NH 4OH、14.3重量%的H 2O 2及71.4重量%的H 2O的溶液。臭氧水是超純水為溶劑且含有20ppm臭氧的溶液。由此，能夠進一步提高在增強清洗過程中多層遮光膜對清洗溶液的耐久性。","branch",NA,"半導體設備",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"16","TW202319838A","日商荒川化學工業","2025-09-19","2025-09-15","2022-09-27",NA,"硬化型感光性樹脂組成物、硬化物、抗蝕劑圖案及其製造方法、半導體元件及電子裝置","本發明的課題在於提供一種硬化型感光性樹脂組成物，其可在相對低的溫度下硬化，且提供具有優異的顯影性及對支撐體的密合性並實現低介電特性的硬化物。本發明是有關於一種硬化型感光性樹脂組成物、硬化物、感光性元件、抗蝕劑圖案、抗蝕劑圖案的製造方法、半導體元件及電子裝置，所述硬化型感光性樹脂組成物包含聚醯亞胺樹脂（A）、馬來醯亞胺類（B）以及（A）成分及（B）成分以外的具有兩個以上的乙烯性雙鍵的多官能聚合性化合物（C），所述聚醯亞胺樹脂（A）為包含芳香族四羧酸酐（a1）及含有二聚物二胺的二胺（a2）的單體群的反應產物。","branch",NA,"光學元件與光通訊",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"17","TW202320022A","美商元平台技術","2025-09-19","2025-09-15","2022-10-27",NA,"合成器層外推","在一個具體實例中，一種方法可自一應用程式獲得（a）一影像及（b）在該影像前方具有一第一位姿的一層圖框。該方法可針對與一第一時間相關聯之一第一視點，藉由將該影像及具有該第一位姿之該層圖框分開地呈現至一顯示緩衝區中而產生一第一顯示圖框。該方法可在該第一時間顯示該第一顯示圖框。該方法可基於該層圖框之該第一位姿及一先前所提交層圖框之一第二位姿來判定該層圖框之一經外推位姿。該方法可針對與一第二時間相關聯之一第二視點，藉由將該影像及具有該經外推位姿之該層圖框分開地呈現至該顯示緩衝區中而產生一第二顯示圖框。該方法可在該第二時間顯示該第二顯示圖框。","branch",NA,"光學投影",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"18","TW202320069A","美商美光科技公司","2025-09-19","2025-09-15","2022-09-27",NA,"用於指示列啟動之技術","本發明描述用於指示列啟動之技術之方法、系統及裝置。一記憶體裝置可接收與一啟動命令相關聯之一指示，其可使該記憶體裝置能夠在接收該相關聯啟動命令之前開始一啟動操作之一些態樣。該指示可包含作為該啟動命令之部分存取之一下一列之一位置。該指示可包含於一先前啟動命令或一預充電命令中。該記憶體裝置可在當前列之預充電操作完成之前開始該下一列之啟動操作。該記憶體裝置可在接收該指示之後接收該下一列之該啟動命令，且可在接收該啟動命令後完成該等啟動操作。","main",NA,"記憶體與儲存裝置",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"19","TW202320073A","南韓商三星電子","2025-09-19","2025-09-15","2022-11-09",NA,"揮發性記憶體裝置","本發明提供一種諸如能夠具有減小的面積的揮發性記憶體裝置的記憶體。揮發性記憶體裝置包括：第一感測放大器；第二感測放大器，與第一感測放大器間隔開；第一普通墊，安置於第一感測放大器與第二感測放大器之間，且包含連接至第一感測放大器的第一位元線及連接至第二感測放大器的第二位元線；以及第一參考墊，安置於第一感測放大器與第二感測放大器之間的第一普通墊上，且包含連接至第一感測放大器的第一互補位元線及連接至第二感測放大器的第二互補位元線。","decline",NA,"記憶體與儲存裝置",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"20","TW202321810A","南韓商SK恩普士","2025-09-19","2025-09-15","2022-11-21",NA,"空白光罩用疊層與其製造方法","本發明提供一種空白光罩用疊層及其製造方法。空白光罩用疊層包括透光層、相移膜以及殘留離子。其中相移膜設置在透光層上；殘留離子通過離子層析法在相移膜的表面所測得，包含濃度為0ng/cm 2以上且0.05ng/cm 2以下的硫酸離子、濃度為0ng/cm 2以上且0.5ng/cm 2以下的氮氧化物離子、濃度為0ng/cm 2以上且5ng/cm 2以下的銨離子中的至少一種，且殘留離子濃度的總和超過0。","branch",NA,"先進材料與奈米科技",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"21","TW202321995A","芬蘭商IQM芬蘭","2025-09-19","2025-09-15","2022-09-23",NA,"用於執行數位－類比量子計算操作的裝置和方法以及電腦程式產品","本發明一般係關於量子計算領域，特別地關於允許在數位-類比量子計算(DAQC)操作期間調整多量子位元系統中的多量子位元耦合的技術。為此，使用轉換矩陣，其允許從多量子位元系統的資源哈密頓量到合適類型的目標哈密頓量。由於每個初始和目標哈密頓量都在多量子位元系統中定義了一組不同的互連量子位元對，因此可以通過使用轉換矩陣在DAQC操作期間有效地調整多量子位元耦合，因此，適當調整DAQC操作中使用的類比區塊的操作參數。與當前的量子電腦架構相比，所有這些都可以減少DAQC操作期間的計算錯誤，並實現更高的保真度。","decline",NA,"量子電腦與運算",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"22","TW202322043A","美商高通科技公司","2025-09-19","2025-09-15","2022-09-22",NA,"小網格著色圖譜","本文所呈現的各態樣涉及用於圖形處理的方法和設備，包括例如GPU的裝置。該裝置可以將至少一個場景劃分為複數個小網格，該等複數個小網格之每一者小網格包括複數個圖元，並且該等複數個圖元之每一者圖元包括複數個頂點。該裝置亦可以計算針對複數個頂點之每一者頂點的紋理座標對。此外，該裝置可以基於該對紋理座標並且基於複數個小網格之每一者小網格的透視投影來選擇至少一個場景中的複數個小網格之每一者小網格的大小。該裝置亦可以計算小網格圖譜中針對至少一個場景之每一者小網格的佈局資訊。此外，該裝置可以基於計算出的佈局資訊來對小網格圖譜中的複數個圖元之每一者圖元進行著色。","branch",NA,"半導體結構與製程",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"23","TW202322117A","日商索尼半導體解決方案公司","2025-09-19","2025-09-15","2022-09-20",NA,"記憶元件及記憶裝置","本發明之課題在於抑制裝置特性之下降。本發明之實施形態之記憶元件具備：固定層，其磁化方向經固定；絕緣層，其配置於上述固定層上；記憶層，其配置於上述絕緣層上，根據施加電流而改變磁化方向；及蓋體層，其包含配置於上述記憶層上之氧化物，且上述蓋體層包含導電性較上述氧化物高之複數個導電區域。","decline",NA,"記憶體與儲存裝置",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"24","TW202322129A","韓商愛思開海力士","2025-09-19","2025-09-15","2022-09-19",NA,"用於改善存儲裝置的資料輸入／輸出性能的設備和方法","本發明涉及一種記憶體系統，該記憶體系統包括記憶體裝置，記憶體裝置包括：至少一個存儲區域；以及控制器，耦接到記憶體裝置。控制器將從外部裝置輸入的寫入資料和與記憶體裝置中存儲的資料相關聯的元資料分離。基於至少一個存儲區域的操作狀態，控制器將寫入資料存儲到被配置為存儲待傳送到記憶體裝置中的至少一個存儲區域的資料的緩衝器中。控制器將元資料存儲到緩衝器中，而不考慮該至少一個存儲區域的操作狀態。控制器將被存儲在緩衝器中的寫入資料或元資料傳送到記憶體裝置，以將寫入資料或元資料存儲在記憶體裝置中。","main",NA,"記憶體與儲存裝置",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"25","TW202323990A","日商佳能","2025-09-19","2025-09-15","2022-10-14",NA,"曝光方法、曝光裝置及物品之製造方法","曝光方法，用於進行將原版(1)的圖案經由投影光學系統(4)轉印於基板(5)上的抗蝕劑的曝光之時。該方法具有：取得一第1資料的第1步驟101，該第1資料表示在載台傾斜曝光中的搭載了原版或基板的載台(6)的相對於掃描方向之傾斜量或在多焦點曝光中之投影光學系統的複數個焦點位置與曝光後的抗蝕劑的分布的關係；取得一第2資料的第2步驟103，該第2資料表示在基板內的複數個位置因抗蝕劑不均而變化的分布的非線性；以及使用第1及第2資料而按基板內的位置或區域校正傾斜量或焦點位置的步驟103。","branch",NA,"半導體設備",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"26","TW202323999A","日商佳能","2025-09-19","2025-09-15","2022-10-17",NA,"檢測裝置、基板處理裝置及物品製造方法","本公開提供了檢測裝置、基板處理裝置和物品製造方法。一種檢測裝置，其被構造為檢測基板上預定圖案的位置，所述檢測裝置包括：第一檢測系統，其被構造為檢測第一預定圖案在第一視場中的位置；以及第二檢測系統，其被構造為檢測第二預定圖案在比第一視場窄的第二視場中的位置，所述第二預定圖案的偏移量小於第一預定圖案的偏移量。","branch",NA,"電子產品檢測",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"27","TW202324303A","大陸商先進半導體材料(深圳)","2025-09-19","2025-09-15","2022-12-07",NA,"引線框架的瑕疵檢測方法","一種引線框架的瑕疵檢測方法，包括：提供標準範本圖像、初始偏差範圍和n個引線框架，所述n是自然數；基於所述標準範本圖像、初始偏差範圍和n個引線框架進行若干次偏差範圍反覆運算調試，獲取第一偏差範圍。所述方法能夠減少生產過程中，引線框架瑕疵檢測時誤報的瑕疵，改善對於良品的引線框架的過殺情況，提高設備檢測速度、生產效率和良品率。","branch",NA,"電子產品檢測",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"28","TW202324401A","台灣積體電路製造","2025-09-19","2025-09-15","2022-09-22",NA,"半導體裝置及其形成方法","揭示了圖案化用於磁阻隨機存取記憶體(MRAM)的磁隧道接面(MTJ)的改進方法及藉由該些方法形成的半導體裝置。在實施例中，方法包括：在半導體基板之上沉積底部電極層；在底部電極層之上沉積磁隧道接面(MTJ)膜堆疊；在MTJ膜堆疊之上沉積頂部電極層；圖案化頂部電極層；執行第一蝕刻製程以圖案化MTJ膜堆疊；對MTJ膜堆疊執行第一修整製程；在執行第一修整製程之後，在MTJ膜堆疊之上沉積第一間隔層；以及在沉積第一間隔層之後，執行第二蝕刻製程以圖案化第一間隔層、MTJ膜堆疊，以及底部電極層，以形成磁阻隨機存取記憶體(MRAM)單元。","decline","Yes","半導體結構與製程",NA,"2330","半導體","2025-09-18",0.17,33.84,10,38.65,52.84,61.72,572.5,566.2,1187.2,1285,693,37.09308,54.1,"TW"
"29","TW202324403A","南韓商三星電子","2025-09-19","2025-09-15","2022-10-06",NA,"記憶體裝置","本發明提供一種記憶體裝置。記憶體裝置可包含：基底；鐵電場效電晶體，安置於基底上；第一通道，接觸鐵電場效電晶體的閘極結構且在豎直方向上自鐵電場效電晶體的閘極結構延伸；選擇字元線，安置於第一通道的一側處；第一閘極介電層，安置於第一通道與選擇字元線之間；以及單元字元線，安置於第一通道的頂部上。","decline",NA,"記憶體與儲存裝置",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"30","TW202324413A","華邦電子","2025-09-19","2025-09-15","2022-11-23",NA,"半導體記憶裝置及其寫入方法","本發明的半導體記憶裝置包含記憶單元陣列、寫入驅動器以及讀取偏壓電路、控制電路與感測放大器。控制電路輸出基於寫入資料而產生的驗證感測負載控制訊號。在寫入驅動器以及讀取偏壓電路施加寫入脈衝與互補寫入脈衝後，感測放大器接收驗證感測負載控制訊號，且檢測選擇的一對記憶單元的真記憶單元連接的第1資料線流通的電流以及互補記憶單元連接的第2資料線流通的電流之間的電流差。其中控制電路經由驗證感測負載控制訊號控制對第1資料線及第2資料線的至少一者提供追加電流，使得所檢測的電流差至少為所需裕度。","decline","Yes","記憶體與儲存裝置",NA,"2344","半導體","2025-09-18",0.58,0.21,4,-2.17,-33.03,-211.4,25.5,26.9,27.6,32.3,26.5,0.16179,53,"TW"
"31","TW202324430A","美商超捷公司","2025-09-19","2025-09-15","2022-10-27",NA,"記憶體系統中實施位址錯誤偵測的階層式ROM編碼器系統","本發明公開了用於使用階層式ROM編碼系統在記憶體系統中實施位址錯誤偵測的各種具體例。在一個具體例中，階層式ROM編碼系統包括兩級ROM編碼器，該兩級ROM編碼器用於偵測位址錯誤。在另一個具體例中，階層式ROM編碼系統包括三級ROM編碼器，該三級ROM編碼器用於偵測位址錯誤。","main",NA,"記憶體與儲存裝置",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"32","TW202326285A","南韓商三星電子","2025-09-19","2025-09-15","2022-12-16",NA,"光學鄰近校正方法、光罩製造方法和半導體晶片製造方法","可提供一種用於製造半導體晶片的光學鄰近校正（OPC）方法，所述光學鄰近校正（OPC）方法包括：對初始佈局圖案的邊緣進行偵測且將邊緣之中違反光罩規則的邊緣確定為目標邊緣；在目標邊緣上設定參考控制點（RCP）；藉由基於OPC對目標邊緣進行劃分來形成多邊緣；在多邊緣上設定附加控制點；藉由基於RCP及附加控制點將多邊緣轉換成彎曲邊緣來形成經修改佈局圖案；基於經修改佈局圖案實行OPC模擬；基於OPC模擬的結果計算經修改佈局圖案的邊緣放置誤差（EPE）。","branch",NA,"半導體結構與製程",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"33","TW202326301A","日商東京威力科創","2025-09-19","2025-09-15","2022-11-15",NA,"使用應力源膜之精度多軸光微影對準校正","本揭露內容之實施態樣提供藉由校正晶圓形狀以改善圖案化之疊加對準的方法。例如，該方法可包含接收具有一工作表面以及一背側表面的一晶圓，該工作表面具有至少經部分加工之半導體裝置，該背側表面係相對於該工作表面。該方法亦可包含在該背側表面上形成一第一應力源膜。該第一應力源膜可修正在橫越該晶圓之該工作表面之一第一方向上的該工作表面的疊加對準。該方法亦可包含在該晶圓的該工作表面上形成一或更多第一半導體結構。該等第一半導體結構係在該第一方向上對準。","branch",NA,"半導體結構與製程",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
"34","TW202326620A","美商元平台技術","2025-09-19","2025-09-15","2022-09-26",NA,"用以允許三維地圖共享和更新之方法及系統","本發明提供一種方法，該方法包括產生一真實環境之一局部地圖，該局部地圖係由第一特徵描述符之間的第一空間關係界定，該等第一特徵描述符對應於由一裝置捕捉之該真實環境中的一可見特徵。該裝置接收由一錨定點與第二特徵描述符之間的第二空間關係界定之一經下載地圖，該等第二特徵描述符對應於由另一裝置捕捉之可見特徵，其中該錨定點對應於一虛擬對象之一位置。基於該等第一特徵描述符與該等第二特徵描述符之間的一比較，藉由將該經下載地圖與該局部地圖合併來更新該局部地圖，且相對於該經更新局部地圖中之一特定特徵描述符判定該裝置之一位姿。基於該位姿及一或多個空間關係呈現虛擬內容，該一或多個空間關係連結該經更新局部地圖中之該特定特徵描述符與該錨點。","branch",NA,"虛擬實境與數位模擬",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TW"
