"","公司全名","專利號","申請日","獲證日","PR","標題","專利摘要","預測年份","主分支","台灣上市櫃","技術分類","股票代碼","產業別","資料時間","氣動值","月營收成長率","熱度值","營收成長率","毛利成長率","營益成長率","外資成本","投信成本","自營商成本","收盤價","加權後成本"
"22","台達電子工業","TWI779955B","2021-12-08","2022-10-01",99,"乙太網路電源供應器及其省電控制方法","一種乙太網路電源供應器通過總線正極與總線負極接收直流電壓，且耦接負載設備。乙太網路電源供應器包括第一控制模組與第二控制模組，第一控制模組用以通過總線負極提供第一控制訊號確認負載設備是否為有效負載，且第二控制模組用以根據負載設備的接入與否而導通或關斷總線正極與第一控制模組之間的電氣耦接關係。","Y2024","main","Yes","其他","2308","電子零組件","2024-10-30",0.4,4.83,6,2.88,20.19,27.72,304.9,331.2,395,404,333.5
"23","和碩聯合科技","TWI807789B","2022-04-19","2023-07-01",99,"用於主機板的異常顯示方法以及異常顯示裝置","本發明提供一種用於主機板的異常顯示方法以及異常顯示裝置。異常顯示方法包括：在主機板上電時接收主機板在進行上電自我測試前的多個訊號；依據所述多個訊號的至少其中之一的異常以產生異常訊息；依據異常訊息以及訊息與燈號對照表來控制顯示燈，以使顯示燈產生對應於異常訊息的異常燈號。","Y2024","main","Yes","其他","4938","電腦及週邊","2024-10-30",1.12,-17.74,1,-9.62,10.16,-3.81,86.1,90.9,102,99,91.2
"24","大陸商台積電(南京)","TWI831135B","2022-02-22","2024-02-01",99,"積體電路和控制時脈信號的方法","一種積體電路，包括時脈電晶體、第一致能電晶體、第二致能電晶體、分支一電晶體、分支二電晶體以及時脈選通電路。第一致能電晶體耦接在時脈電晶體和第一節點之間。第二致能電晶體耦接在時脈電晶體和第二節點之間。分支一電晶體耦接在第一電源和第一節點之間。分支一電晶體的閘極端電性連接至第二節點。分支二電晶體耦接在第一電源和第二節點之間。分支二電晶體的閘極端電性連接至第一節點。用於生成經選通時脈信號的時脈選通電路接收鎖存輸出信號，鎖存輸出信號被鎖存於第一節點信號或第二節點信號的邏輯準位。","Y2024","main","No","半導體結構",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","日商TOWA","TWI808684B","2022-03-17","2023-07-11",99,"切斷裝置、及切斷物品的製造方法","本發明所欲解決的問題在於提供一種切斷裝置等，能夠抑制藉由半切而在切斷對象物上所形成的槽的深度的偏差。        為了解決上述問題，本發明的切斷裝置，構成為可在切斷對象物上形成半切槽，該切斷裝置具備:平台、安裝有刀刃之主軸部、檢測部及控制部。平台保持切斷對象物。刀刃，藉由一邊將切斷對象物切斷一邊對於平台相對地移動，而在切斷對象物上形成由半切槽構成之槽圖案。檢測部，檢測刀刃相對於平台的高度。控制部，控制刀刃的高度方向的位置。控制部，在刀刃在1個切斷對象物上形成槽圖案的期間，按照刀刃將切斷對象物切斷的長度而使檢測部檢測刀刃的高度，並在所檢測到的高度未滿足預先規定的要件的情況，修正刀刃的高度方向的位置。","Y2024","branch","No","半導體封裝技術",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","日商巴川製紙所","TWI815354B","2022-03-16","2023-09-11",99,"傳熱體","本發明之傳熱體(10)係具備：傳熱部(20)，係包含金屬；以及突出部(30)，係安裝於傳熱部(20)之表面，且從該傳熱部(20)延伸。突出部(30)係具備：芯材(32)，係由金屬之塊體所構成；以及金屬纖維構造體(34)，係熔接於芯材(32)之周圍。","Y2024","main","No","散熱管理",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","日商揖斐電","TWI830474B","2022-11-02","2024-01-21",99,"配線基板","本發明之課題在於提供一種與電子零件之連接之可靠性高之配線基板。        實施形態之配線基板具有：第1導體層112，其具有第1導體墊P1及第2導體墊P2；第2絕緣層210，其具有使第1導體墊P1露出之第1開口110a、以及使第2導體墊P2露出之第2開口110b；金屬柱MP，其填充第1開口110a；及配線構造體WS，其配置於第2開口110b內。配線構造體WS之第1面側連接墊OP之上表面構成具有第1、第2、及第3零件搭載區域EA1、EA2、EA3之零件搭載面，第1面側連接墊OP配置於零件搭載區域EA1、EA2、EA3各者，配置於零件搭載區域EA1、EA2之第1面側連接墊OP、以及配置於零件搭載區域EA1、EA3之第1面側連接墊OP相互電性連接。","Y2024","branch","No","半導體封裝技術",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","日商斯庫林集團","TWI826904B","2022-01-20","2023-12-21",99,"基板處理方法及基板處理裝置","本發明為一種基板處理方法，係對具有包含形成凹部之凹部形成面的主面、且於上述凹部內形成了被去除層的基板進行處理。上述基板處理方法係包含：將含有蝕刻離子之蝕刻液供給至上述基板之主面，對上述被去除層進行蝕刻之蝕刻步驟；將上述基板之主面上之上述蝕刻液濃縮的濃縮步驟；將藉由上述蝕刻液之濃縮而露出的上述凹部形成面進行親水化的親水化步驟；於上述親水化步驟後，藉由對上述基板之主面供給沖洗液，使上述蝕刻離子擴散至上述沖洗液中的離子擴散步驟；與由上述基板之主面去除上述沖洗液的沖洗液去除步驟。","Y2024","main","No","蝕刻技術",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","日商斯庫林集團","TWI829327B","2022-09-05","2024-01-11",99,"基板處理裝置","本發明係關於一種基板處理裝置。於作為第1循環配管35之一部分之濃縮用配管39，設置有具有石英管47之石英加熱器41。第1迂迴配管36之兩端36A、36B連接於濃縮用配管39之上游端及下游端。於第1迂迴配管36，設置有具有非石英管51之非石英加熱器45。控制部93於將第1槽T1內之磷酸溶液濃縮時，一面將磷酸溶液輸送至濃縮用配管39，一面使用石英加熱器41將通過濃縮用配管39之磷酸溶液加熱。控制部93於第1槽T1內之磷酸溶液之濃縮完成時，一面將磷酸溶液輸送至第1迂迴配管36，一面使用非石英加熱器45將通過第1迂迴配管36之磷酸溶液加熱。","Y2024","main","No","其他",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","日商日立全球先端科技","TWI834184B","2022-06-08","2024-03-01",99,"半導體製造方法及半導體製造裝置","為了提供一種可使處理的效率或良品率提升製造半導體裝置的半導體製造方法及半導體製造裝置，        至少進行1次第1工序之後至少進行1次第2工序來蝕刻前述處理對象的膜，        該第1工序是將在表面配置含有典型金屬元素的處理對象的膜之半導體晶圓配置於處理室內，邊在前述處理室內供給含有具有路易斯鹼性的部分分子構造的有機化合物之有機氣體，邊使該氣體吸附於前述膜之後，提高前述晶圓的溫度來將有機金屬錯合物形成於前述膜表面而使氣化脫離，        該第2工序是邊供給含有前述有機化合物的有機氣體，邊以低的溫度來使前述氣體吸附於前述膜表面之後停止前述氣體的供給之後階段性地提高前述晶圓的溫度而使被形成於前述膜表面的有機金屬錯合物氣化脫離。","Y2024","main","No","蝕刻技術",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","日商東京威力科創","TWI797739B","2021-09-03","2023-04-01",99,"蝕刻方法、電漿處理裝置及基板處理系統","本發明所揭示之蝕刻方法包含提供基板之步驟(a)。基板具有第1區域及第2區域。第2區域包含氧化矽，第1區域由與第2區域不同之材料形成。蝕刻方法進而包含步驟(b)，該步驟(b)係利用由包含一氧化碳氣體之第1處理氣體生成之第1電漿而優先於第1區域上形成沈積物。蝕刻方法進而包含對第2區域進行蝕刻之步驟(c)。","Y2024","main","No","蝕刻技術",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","日商鎧俠","TWI801962B","2021-08-12","2023-05-11",99,"半導體裝置","實施形態提供一種可靠性提高之半導體裝置。        實施形態之半導體裝置具備：第1基板，其包含第1金屬層、及包圍第1金屬層之第1絕緣層；及第2基板，其包含與第1金屬層相接之第2金屬層、包圍第2金屬層且與第1絕緣層相接之第2絕緣層、及一部分設置於第2金屬層中且於自第2金屬層朝第1金屬層之第1方向延伸之第1導電體。","Y2024","main","No","半導體封裝技術",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","日商鎧俠","TWI820631B","2022-03-09","2023-11-01",99,"半導體裝置、半導體記憶裝置及半導體裝置之製造方法","實施方式提供一種能夠抑制雜質元素之擴散並尋求特性之提昇之半導體裝置、半導體記憶裝置及半導體裝置之製造方法。        實施方式之半導體裝置具備基板、形成於上述基板上之絕緣膜、及與該絕緣膜相接形成且包含鉬之電極層。上述電極層中具備如下之氯濃度梯度，即，氯濃度在靠近上述絕緣膜之部分高，且隨著遠離上述絕緣膜，氯濃度降低。","Y2024","main","No","半導體裝置",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","日商鎧俠","TWI842047B","2022-08-10","2024-05-11",99,"非暫態性處理器可讀媒體和儲存裝置","示例實施方案包含一種非暫態性處理器可讀媒體，包括處理器可讀指令，當由控制器的至少一個處理器執行時，使該處理器產生分別對應於至少一命令區塊的至少一記憶體位址，該命令區塊是與對記憶體裝置的命令相關聯，將該記憶體位址分配到與主機介面相關聯的緩衝區定址單元，該記憶體位址包含與緩衝區記憶體區塊相關聯的緩衝區記憶體識別符和與該緩衝區記憶體區塊相關聯的緩衝區記憶體位址，以及藉由遞增與該緩衝區記憶體區塊相關聯的參考計數來更新與該緩衝區記憶體區塊相關聯的請求計數。","Y2024","main","No","記憶體裝置",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","瑞昱半導體","TWI774618B","2021-11-29","2022-08-11",99,"通用序列匯流排指令的傳輸方法及相關的電子裝置","本發明揭露了一種電子裝置及一種USB指令的傳輸方法。該方法包含：(A)於一記憶體配置一暫存區；(B)接收一USB指令；(C)載入該USB指令的一控制傳輸資訊；(D)將該控制傳輸資訊儲存至該暫存區；(E)再次執行步驟(B)至步驟(D)直到滿足一結束控制聚合之條件；(F)根據該暫存區的內容產生一已聚合的USB指令；以及(G)傳送該已聚合的USB指令。","Y2024","main","Yes","記憶體裝置","2379","半導體","2024-10-30",0.64,10.96,5,16.67,42.28,89.74,478.8,446.2,490.3,478.5,468.1
"36","神雲科技","TWI830352B","2022-08-30","2024-01-21",99,"用於讀取多張不同規格之轉接卡資訊的讀取方法及基板管理控制模組","一種由一基板管理控制模組執行的讀取方法包含：儲存一有多個預設轉接卡各自的一資料讀取規範的查找表及多個分別對應多個積體電路匯流排的匯流排位址；掃描一選定的匯流排位址，以與對應的該積體電路匯流排所電連接的該等轉接卡中的一者溝通，並判斷是否獲得一從屬位址；當判斷為是，根據一選定的資料讀取規範讀取該等轉接卡中的該者，以獲得一識別資訊；判斷該識別資訊是否符合一FRU標頭格式；當判斷為符合，根據該選定的資料讀取規範讀取該等轉接卡中的該者，以獲得一FRU資訊。","Y2024","main","No","計算儲存裝置",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","神雲科技","TWI835576B","2023-03-07","2024-03-11",99,"主機板擴充系統","一種主機板擴充系統，經由主機板的多個主板邏輯產生器分別用以產生多個不同的主機邏輯信號到多個擴充模組，每一擴充模組包括切換器、第一元件與第二元件，切換器用以將來自主機板的主機邏輯信號傳送到第一元件與第二元件，使第一元件與第二元件將主機邏輯信號設定為一低位元位址，第一元件根據一第一高位元位址與低位元位址產生一第一總位址，第二元件根據一第二高位元位址與低位元位址產生一第二總位址，由於該等擴充模組間的低位元位址分別是不同的主機邏輯信號，因此避免多個擴充模組之間位址衝突的問題。","Y2024","main","No","其他",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","緯創資通","TWI793915B","2021-12-10","2023-02-21",99,"電源供應系統及其控制方法","一種電源供應系統及其控制方法。電源供應系統用以供電給負載，且包括供電裝置以及備援電源裝置。供電裝置透過電源匯流排供電給負載。備援電源裝置包括備援電池組、充電轉換器、放電轉換器以及處理器。充電轉換器與放電轉換器耦接至備援電池組。處理器依據供電裝置的當前轉換效率判斷備援電源裝置的狀態為負載模式或是供電模式。回應於供電模式，處理器控制備援電池組，以使備援電池組以及供電裝置同時透過電源匯流排供電給負載。","Y2024","main","Yes","其他","3231","電腦及週邊","2024-10-30",0.71,24.42,1,15.78,28.1,62.17,106,93.1,107.6,111,101.2
